word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;2559;8;6;20472;5118
puisqu;6;546;35;18;19110;3276
prevoient;9;32;48;27;1536;288
jeudis;6;12;31;18;372;72
jusqu;5;5599;30;15;167970;27995
prochaines;10;72;46;30;3312;720
elections;9;895;43;27;38485;8055
auront;6;295;34;18;10030;1770
mai;3;2914;12;9;34968;8742
flamands;8;79;37;24;2923;632
secondaire;10;326;48;30;15648;3260
cependant;9;3018;42;27;126756;27162
derniere;8;1253;38;24;47614;10024
francophones;12;143;58;36;8294;1716
rejoints;8;44;45;24;1980;352
manifester;10;124;47;30;5828;1240
leurs;5;6562;27;15;177174;32810
tes;3;591;18;9;10638;1773
portent;7;394;40;21;15760;2758
nom;3;7508;17;9;127636;22524
youth;5;7;29;15;203;35
for;3;238;17;9;4046;714
climate;7;6;31;21;186;42
jeunesse;8;507;41;24;20787;4056
semaines;8;794;41;24;32554;6352
certains;8;4815;38;24;182970;38520
etudiants;9;284;46;27;13064;2556
universites;11;146;57;33;8322;1606
hautes;6;364;31;18;11284;2184
promis;6;142;32;18;4544;852
allaient;8;99;36;24;3564;792
pouvaient;9;530;45;27;23850;4770
examens;7;74;35;21;2590;518
manifestent;11;71;52;33;3692;781
souhaiteraient;14;7;69;42;483;98
fasse;5;134;25;15;3350;670
lutter;6;457;33;18;15081;2742
contre;6;6824;29;18;197896;40944
rechauffement;13;235;61;39;14335;3055
surtout;7;3087;45;21;138915;21609
enerves;7;1;39;21;39;7
gouvernement;12;3037;62;36;188294;36444
flamand;7;132;31;21;4092;924
rappelle;8;242;42;24;10164;1936
cop;3;83;15;9;1245;249
refuse;6;166;34;18;5644;996
accord;6;1015;25;18;25375;6090
ambitieux;9;34;45;27;1530;306
raison;6;1455;32;18;46560;8730
sujet;5;910;31;15;28210;4550
interesse;9;267;47;27;12549;2403
entendus;8;38;41;24;1558;304
bienvenus;9;24;47;27;1128;216
prendra;7;100;35;21;3500;700
conscience;10;232;42;30;9744;2320
matiere;7;769;33;21;25377;5383
cours;5;3260;26;15;84760;16300
veulent;7;713;39;21;27807;4991
doivent;7;1962;35;21;68670;13734
secher;6;59;29;18;1711;354
h;1;3115;6;3;18690;3115
accompagner;11;114;48;33;5472;1254
prevenu;7;65;39;21;2535;455
sechent;7;9;35;21;315;63
seraient;8;432;40;24;17280;3456
places;6;177;28;18;4956;1062
injustifiee;11;4;54;33;216;44
droit;5;2280;25;15;57000;11400
demi;4;851;18;12;15318;3404
depasse;7;179;36;21;6444;1253
rate;4;35;22;12;770;140
office;6;151;26;18;3926;906
absences;8;16;37;24;592;128
injustifiees;12;2;60;36;120;24
dramatiques;11;44;53;33;2332;484
avoir;5;6113;27;15;165051;30565
demandes;8;167;36;24;6012;1336
choisi;6;490;26;18;12740;2940
jour;4;3258;23;12;74934;13032
o;1;9817;6;3;58902;9817
aller;5;1429;24;15;34296;7145
