word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
indefini;8;25;45;24;1125;200
dont;4;6896;19;12;131024;27584
feminin;7;224;38;21;8512;1568
cas;3;3800;15;9;57000;11400
langues;7;1020;33;21;33660;7140
anglais;7;2305;33;21;76065;16135
attention;9;668;47;27;31396;6012
ordinal;7;1;35;21;35;7
premiere;8;4885;39;24;190515;39080
unier;5;1;28;15;28;5
uniere;6;1;33;18;33;6
abreviations;12;10;68;36;680;120
er;2;1267;11;6;13937;2534
re;2;160;15;6;2400;320
ier;3;2068;16;9;33088;6204
iere;4;9;20;12;180;36
ere;3;424;17;9;7208;1272
humanite;8;237;41;24;9717;1896
du;2;708;9;6;6372;1416
quitter;7;372;43;21;15996;2604
son;3;30237;19;9;574503;90711
foyer;5;179;28;15;5012;895
fuir;4;207;24;12;4968;828
violence;8;369;45;24;16605;2952
selon;5;3821;30;15;114630;19105
rapport;7;1239;45;21;55755;8673
onu;3;313;22;9;6886;939
publie;6;490;29;18;14210;2940
jeudi;5;213;26;15;5538;1065
millions;8;2717;42;24;114114;21736
personnes;9;4306;47;27;202382;38754
vivent;6;1294;41;18;53054;7764
aujourd;7;3487;38;21;132506;24409
hui;3;3495;18;9;62910;10485
loin;4;981;20;12;19620;3924
chez;4;2602;21;12;54642;10408
elles;5;5315;26;15;138190;26575
ont;3;17423;18;9;313614;52269
explications;12;285;61;36;17385;3420
jamais;6;1789;31;18;55459;10734
ete;3;17041;17;9;289697;51123
eleves;6;185;36;18;6660;1110
filippo;7;22;36;21;792;154
grandi;6;95;29;18;2755;570
chef;4;1984;17;12;33728;7936
haut;4;1865;24;12;44760;7460
commissariat;12;11;59;36;649;132
refugies;8;227;46;24;10442;1816
montre;6;729;32;18;23328;4374
eu;2;2492;13;6;32396;4984
conflits;8;293;40;24;11720;2344
annee;5;3983;26;15;103558;19915
passee;6;183;30;18;5490;1098
poursuit;8;249;47;24;11703;1992
titre;5;1663;33;15;54879;8315
comparaison;11;115;53;33;6095;1265
ans;3;10179;17;9;173043;30537
etait;5;11616;27;15;313632;58080
deux;4;13274;20;12;265480;53096
fois;4;5568;20;12;111360;22272
moins;5;4855;26;15;126230;24275
eleve;5;475;26;15;12350;2375
ces;3;10300;14;9;144200;30900
maison;6;1420;29;18;41180;8520
cause;5;1889;27;15;51003;9445
guerres;7;654;40;21;26160;4578
persecution;11;26;60;33;1560;286
problemes;9;851;49;27;41699;7659
lies;4;254;22;12;5588;1016
droits;6;1207;31;18;37417;7242
homme;5;3232;27;15;87264;16160
donc;4;8648;16;12;138368;34592
fait;4;14532;18;12;261576;58128
plaisir;7;298;36;21;10728;2086
sur;3;34442;23;9;792166;103326
moitie;6;867;30;18;26010;5202
fui;3;57;17;9;969;171
regions;7;1815;39;21;70785;12705
pays;4;10308;23;12;237084;41232
etranger;8;328;41;24;13448;2624
demande;7;351;28;21;9828;2457
asile;5;67;28;15;1876;335
quittent;8;171;48;24;8208;1368
viennent;8;563;46;24;25898;4504
principalement;14;1325;67;42;88775;18550
syrie;5;355;34;15;12070;1775
moyen;5;2080;29;15;60320;10400
orient;6;568;33;18;18744;3408
venezuela;9;76;51;27;3876;684
amerique;8;1666;45;24;74970;13328
sud;3;5944;21;9;124824;17832
afghanistan;11;193;54;33;10422;2123
soudan;6;89;31;18;2759;534
afrique;7;2003;37;21;74111;14021
birmanie;8;111;42;24;4662;888
parmi;5;1784;25;15;44600;8920
compte;6;2868;31;18;88908;17208
enormement;10;259;55;30;14245;2590
enfants;7;3894;34;21;132396;27258
aider;5;957;23;15;22011;4785
majorite;8;1047;41;24;42927;8376
refugier;8;110;45;24;4950;880
europe;6;3982;34;18;135388;23892
etats;5;575;28;15;16100;2875
unis;4;3165;23;12;72795;12660
demanderaient;13;4;58;39;232;52
mieux;5;1505;28;15;42140;7525
retourner;9;204;54;27;11016;1836
peuvent;7;4739;39;21;184821;33173
etant;5;2271;27;15;61317;11355
crise;5;675;26;15;17550;3375
faudrait;8;281;36;24;10116;2248
unissent;8;38;46;24;1748;304
resoudre;8;252;49;24;12348;2016
pousse;6;121;35;18;4235;726
partir;6;3507;32;18;112224;21042
si;2;9322;14;6;130508;18644
incapables;10;74;49;30;3626;740
paix;4;960;20;12;19200;3840
malheureusement;15;520;80;45;41600;7800
situation;9;1161;49;27;56889;10449
va;2;3583;15;6;53745;7166
empirer;7;10;37;21;370;70
previent;8;28;45;24;1260;224
credit;6;875;30;18;26250;5250
photo;5;1150;28;15;32200;5750
reporters;9;436;56;27;24416;3924
million;7;363;36;21;13068;2541
decedent;8;6;41;24;246;48
environnement;13;545;68;39;37060;7085
degrade;7;27;29;21;783;189
nous;4;5290;25;12;132250;21160
te;2;2851;14;6;39914;5702
parlons;7;45;36;21;1620;315
souvent;7;5906;45;21;265770;41342
ecologie;8;471;37;24;17427;3768
impact;6;201;32;18;6432;1206
consommation;12;415;59;36;24485;4980
viande;6;558;35;18;19530;3348
rubrique;8;130;52;24;6760;1040
belgique;8;1890;41;24;77490;15120
semaine;7;1101;36;21;39636;7707
lundi;5;333;23;15;7659;1665
organisation;12;940;61;36;57340;11280
mondiale;8;1955;36;24;70380;15640
sante;5;742;28;15;20776;3710
oms;3;54;20;9;1080;162
declaration;11;333;51;33;16983;3663
alarmante;9;6;44;27;264;54
deces;5;262;23;15;6026;1310
probablement;12;484;57;36;27588;5808
pollue;6;14;32;18;448;84
peu;3;6180;17;9;105060;18540
sur;3;687;23;9;15801;2061
manquant;8;28;42;24;1176;224
hygiene;7;133;38;21;5054;931
eau;3;5501;15;9;82515;16503
potable;7;134;36;21;4824;938
tu;2;5996;19;6;113924;11992
avais;5;392;29;15;11368;1960
effectivement;13;114;61;39;6954;1482
etais;5;323;29;15;9367;1615
fragile;7;110;33;21;3630;770
vulnerable;10;51;62;30;3162;510
air;3;1477;17;9;25109;4431
pollues;7;13;40;21;520;91
tire;4;242;29;12;7018;968
sonnette;8;21;47;24;987;168
alarme;6;36;30;18;1080;216
change;6;506;25;18;12650;3036
exposes;7;159;45;21;7155;1113
risques;7;253;45;21;11385;1771
environnementaux;16;15;85;48;1275;240
maniere;7;1233;34;21;41922;8631
inacceptable;12;20;53;36;1060;240
commente;8;19;39;24;741;152
directrice;10;68;46;30;3128;680
publique;8;447;41;24;18327;3576
maria;5;176;22;15;3872;880
neira;5;2;26;15;52;10
