word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
equipe;6;1831;39;12;71409;10986;;
ailleurs;8;1828;50;16;91400;14624;;
russie;6;1827;37;12;67599;10962;;
important;9;1822;50;18;91100;16398;;
soleil;6;1816;38;12;69008;10896;;
regions;7;1815;39;14;70785;12705;;
utilise;7;1811;42;14;76062;12677;;
avaient;7;1802;34;14;61268;12614;;
deuxieme;8;1801;49;16;88249;14408;;
connu;5;1801;27;10;48627;9005;;
jamais;6;1789;24;12;42936;10734;;
parmi;5;1784;27;10;48168;8920;;
mon;3;1783;15;6;26745;5349;;
lorsque;7;1780;49;14;87220;12460;;
ordre;5;1778;35;10;62230;8890;;
passe;5;1778;25;10;44450;8890;;
etc;3;1773;16;6;28368;5319;;
comment;7;1762;35;14;61670;12334;;
espagne;7;1757;34;14;59738;12299;;
fille;5;1751;34;10;59534;8755;;
film;4;1741;24;8;41784;6964;;
bois;4;1738;19;8;33022;6952;;
possible;8;1735;45;16;78075;13880;;
particulier;11;1721;68;22;117028;18931;;
an;2;1718;7;4;12026;3436;;
ecrit;5;1706;30;10;51180;8530;;
angleterre;10;1703;60;20;102180;17030;;
vient;5;1702;30;10;51060;8510;;
donne;5;1702;27;10;45954;8510;;
premiers;8;1700;51;16;86700;13600;;
niveau;6;1697;33;12;56001;10182;;
articles;8;1696;45;16;76320;13568;;
but;3;1691;16;6;27056;5073;;
bas;3;1688;10;6;16880;5064;;
territoire;10;1682;67;20;112694;16820;;
mettre;6;1681;37;12;62197;10086;;
lorsqu;6;1672;43;12;71896;10032;;
prend;5;1669;32;10;53408;8345;;
vit;3;1667;19;6;31673;5001;;
amerique;8;1666;47;16;78302;13328;;
titre;5;1663;32;10;53216;8315;;
membres;7;1656;37;14;61272;11592;;
prix;4;1650;31;8;51150;6600;;
hiver;5;1647;32;10;52704;8235;;
demande;7;1646;33;14;54318;11522;;
contr;5;1644;30;10;49320;8220;;
femme;5;1644;27;10;44388;8220;;
commence;8;1642;39;16;64038;13136;;
cree;4;1640;25;8;41000;6560;;
eglise;6;1639;33;12;54087;9834;;
seulement;9;1635;53;18;86655;14715;;
vont;4;1633;25;8;40825;6532;;
te;2;1632;12;4;19584;3264;;
parce;5;1623;28;10;45444;8115;;
revolution;10;1603;66;20;105798;16030;;
bon;3;1598;14;6;22372;4794;;
parents;7;1592;40;14;63680;11144;;
lumiere;7;1590;45;14;71550;11130;;
porte;5;1589;34;10;54026;7945;;
question;8;1576;48;16;75648;12608;;
aurait;6;1573;31;12;48763;9438;;
cinq;4;1571;22;8;34562;6284;;
possede;7;1566;40;14;62640;10962;;
college;7;1563;41;14;64083;10941;;
prendre;7;1559;47;14;73273;10913;;
fonction;8;1557;44;16;68508;12456;;
rouge;5;1555;31;10;48205;7775;;
the;3;1555;16;6;24880;4665;;
mouvement;9;1548;52;18;80496;13932;;
tes;3;1546;17;6;26282;4638;;
seule;5;1543;32;10;49376;7715;;
departement;11;1543;62;22;95666;16973;;
couleur;7;1539;47;14;72333;10773;;
ministre;8;1533;45;16;68985;12264;;
ligne;5;1530;27;10;41310;7650;;
devant;6;1516;32;12;48512;9096;;
romain;6;1513;31;12;46903;9078;;
succes;6;1507;31;12;46717;9042;;
mieux;5;1505;32;10;48160;7525;;
militaire;9;1503;50;18;75150;13527;;
creer;5;1501;34;10;51034;7505;;
moi;3;1495;15;6;22425;4485;;
bonne;5;1488;25;10;37200;7440;;
mis;3;1487;14;6;20818;4461;;
chine;5;1487;24;10;35688;7435;;
abord;5;1486;25;10;37150;7430;;
savoir;6;1484;35;12;51940;8904;;
mesure;6;1482;37;12;54834;8892;;
taille;6;1481;35;12;51835;8886;;
serait;6;1481;33;12;48873;8886;;
air;3;1477;16;6;23632;4431;;
situe;5;1475;29;10;42775;7375;;
ni;2;1475;10;4;14750;2950;;
nos;3;1475;16;6;23600;4425;;
bataille;8;1475;40;16;59000;11800;;
malgre;6;1474;32;12;47168;8844;;
milieu;6;1469;35;12;51415;8814;;
met;3;1457;16;6;23312;4371;;
raison;6;1455;32;12;46560;8730;;
mal;3;1455;14;6;20370;4365;;
donner;6;1447;36;12;52092;8682;;
union;5;1446;28;10;40488;7230;;
enfant;6;1441;31;12;44671;8646;;
produit;7;1440;45;14;64800;10080;;
animal;6;1440;26;12;37440;8640;;
trouver;7;1435;51;14;73185;10045;;
sol;3;1432;19;6;27208;4296;;
theatre;7;1429;39;14;55731;10003;;
aller;5;1429;33;10;47157;7145;;
rien;4;1428;25;8;35700;5712;;
type;4;1422;25;8;35550;5688;;
maison;6;1420;27;12;38340;8520;;
livre;5;1420;36;10;51120;7100;;
ma;2;1407;6;4;8442;2814;;
energie;7;1406;40;14;56240;9842;;
vu;2;1405;15;4;21075;2810;;
soldats;7;1403;37;14;51911;9821;;
palais;6;1403;29;12;40687;8418;;
napoleon;8;1401;45;16;63045;11208;;
frere;5;1398;37;10;51726;6990;;
commune;7;1391;36;14;50076;9737;;
importante;10;1389;56;20;77784;13890;;
espace;6;1386;30;12;41580;8316;;
celebre;7;1382;42;14;58044;9674;;
loi;3;1381;19;6;26239;4143;;
chateau;7;1380;31;14;42780;9660;;
as;2;1378;7;4;9646;2756;;
base;4;1373;16;8;21968;5492;;
meurt;5;1373;32;10;43936;6865;;
parle;5;1367;32;10;43744;6835;;
gens;4;1366;19;8;25954;5464;;
art;3;1365;17;6;23205;4095;;
plut;4;1362;28;8;38136;5448;;
marie;5;1352;26;10;35152;6760;;
films;5;1348;29;10;39092;6740;;
argent;6;1343;31;12;41633;8058;;
droite;6;1342;37;12;49654;8052;;
mes;3;1342;15;6;20130;4026;;
ados;4;1341;18;8;24138;5364;;
ici;3;1341;14;6;18774;4023;;
devenir;7;1339;44;14;58916;9373;;
chose;5;1332;25;10;33300;6660;;
besoin;6;1330;30;12;39900;7980;;
appelee;7;1327;42;14;55734;9289;;
principalement;14;1325;79;28;104675;18550;;
romains;7;1322;36;14;47592;9254;;
longtemps;9;1318;50;18;65900;11862;;
seront;6;1318;37;12;48766;7908;;
coree;5;1315;31;10;40765;6575;;
scientifique;12;1315;69;24;90735;15780;;
espece;6;1314;34;12;44676;7884;;
heures;6;1313;37;12;48581;7878;;
laquelle;8;1310;53;16;69430;10480;;
troisieme;9;1310;52;18;68120;11790;;
uvre;4;1310;30;8;39300;5240;;
rapidement;10;1307;55;20;71885;13070;;
enfin;5;1303;28;10;36484;6515;;
force;5;1302;32;10;41664;6510;;
conseil;7;1301;39;14;50739;9107;;
proche;6;1300;36;12;46800;7800;;
duc;3;1299;16;6;20784;3897;;
nomme;5;1297;25;10;32425;6485;;
produits;8;1296;50;16;64800;10368;;
vivent;6;1294;38;12;49172;7764;;
societe;7;1293;38;14;49134;9051;;
ton;3;1287;17;6;21879;3861;;
texte;5;1286;34;10;43724;6430;;
nationale;9;1279;45;18;57555;11511;;
presente;8;1277;50;16;63850;10216;;
plantes;7;1275;39;14;49725;8925;;
vote;4;1270;26;8;33020;5080;;
er;2;1267;15;4;19005;2534;;
idee;4;1263;22;8;27786;5052;;
allemand;8;1257;40;16;50280;10056;;
parler;6;1255;41;12;51455;7530;;
derniere;8;1253;51;16;63903;10024;;
nouvelles;9;1253;59;18;73927;11277;;
dessus;6;1252;33;12;41316;7512;;
nuit;4;1246;23;8;28658;4984;;
religion;8;1241;47;16;58327;9928;;
saison;6;1241;28;12;34748;7446;;
utilise;7;1240;42;14;52080;8680;;
presque;7;1240;48;14;59520;8680;;
rapport;7;1239;46;14;56994;8673;;
public;6;1238;34;12;42092;7428;;
japon;5;1238;26;10;32188;6190;;
interieur;9;1238;58;18;71804;11142;;
peuple;6;1237;41;12;50717;7422;;
regime;6;1237;33;12;40821;7422;;
maniere;7;1233;37;14;45621;8631;;
arrive;6;1231;39;12;48009;7386;;
reine;5;1229;31;10;38099;6145;;
super;5;1228;34;10;41752;6140;;
sert;4;1227;26;8;31902;4908;;
passer;6;1222;34;12;41548;7332;;
naissance;9;1222;39;18;47658;10998;;
pris;4;1221;26;8;31746;4884;;
plein;5;1213;31;10;37603;6065;;
politiques;10;1211;63;20;76293;12110;;
droits;6;1207;36;12;43452;7242;;
eleves;6;1205;39;12;46995;7230;;
pape;4;1197;22;8;26334;4788;;
xixe;4;1193;31;8;36983;4772;;
simple;6;1192;35;12;41720;7152;;
tant;4;1191;19;8;22629;4764;;
asie;4;1186;18;8;21348;4744;;
latin;5;1185;26;10;30810;5925;;
surface;7;1185;40;14;47400;8295;;
autriche;8;1184;43;16;50912;9472;;
education;9;1183;46;18;54418;10647;;
europeenne;10;1181;63;20;74403;11810;;
nouveaux;8;1180;51;16;60180;9440;;
philippe;8;1180;49;16;57820;9440;;
regne;5;1180;29;10;34220;5900;;
sens;4;1178;21;8;24738;4712;;
noir;4;1172;25;8;29300;4688;;
points;6;1171;34;12;39814;7026;;
utiliser;8;1170;51;16;59670;9360;;
celles;6;1168;37;12;43216;7008;;
service;7;1166;43;14;50138;8162;;
memes;5;1164;25;10;29100;5820;;
uni;3;1162;17;6;19754;3486;;
iles;4;1162;24;8;27888;4648;;
situation;9;1161;47;18;54567;10449;;
construction;12;1161;68;24;78948;13932;;
petites;7;1159;41;14;47519;8113;;
projet;6;1157;40;12;46280;6942;;
gros;4;1156;23;8;26588;4624;;
signifie;8;1151;41;16;47191;9208;;
photo;5;1150;29;10;33350;5750;;
henri;5;1147;29;10;33263;5735;;
vite;4;1146;25;8;28650;4584;;
action;6;1145;28;12;32060;6870;;
displaystyle;12;1139;69;24;78591;13668;;
gauche;6;1135;26;12;29510;6810;;
blanc;5;1132;22;10;24904;5660;;
catholique;10;1129;56;20;63224;11290;;
russe;5;1125;32;10;36000;5625;;
musee;5;1124;28;10;31472;5620;;
facon;5;1123;24;10;26952;5615;;
americain;9;1123;42;18;47166;10107;;
club;4;1123;22;8;24706;4492;;
compose;7;1117;38;14;42446;7819;;
rencontre;9;1112;56;18;62272;10008;;
production;10;1112;60;20;66720;11120;;
date;4;1109;19;8;21071;4436;;
rendre;6;1109;40;12;44360;6654;;
conditions;10;1109;52;20;57668;11090;;
decide;6;1109;31;12;34379;6654;;
retour;6;1108;43;12;47644;6648;;
choses;6;1106;30;12;33180;6636;;
vivre;5;1105;36;10;39780;5525;;
semaine;7;1101;33;14;36333;7707;;
coupe;5;1099;30;10;32970;5495;;
objets;6;1098;32;12;35136;6588;;
fort;4;1096;28;8;30688;4384;;
construit;9;1093;53;18;57929;9837;;
cm;2;1092;8;4;8736;2184;;
allemands;9;1091;45;18;49095;9819;;
terme;5;1084;31;10;33604;5420;;
pu;2;1084;14;4;15176;2168;;
personnage;10;1078;54;20;58212;10780;;
grec;4;1078;22;8;23716;4312;;
culture;7;1078;47;14;50666;7546;;
creation;8;1077;43;16;46311;8616;;
main;4;1075;16;8;17200;4300;;
appeles;7;1073;41;14;43993;7511;;
voit;4;1067;25;8;26675;4268;;
ancienne;8;1063;38;16;40394;8504;;
genre;5;1063;29;10;30827;5315;;
economique;10;1061;57;20;60477;10610;;
romaine;7;1061;37;14;39257;7427;;
aucun;5;1060;25;10;26500;5300;;
forment;7;1060;43;14;45580;7420;;
permettent;10;1057;61;20;64477;10570;;
troupes;7;1056;46;14;48576;7392;;
juste;5;1056;30;10;31680;5280;;
zone;4;1055;24;8;25320;4220;;
mise;4;1055;20;8;21100;4220;;
printemps;9;1051;54;18;56754;9459;;
vitesse;7;1050;41;14;43050;7350;;
majorite;8;1047;44;16;46068;8376;;
vue;3;1047;21;6;21987;3141;;
desormais;9;1043;47;18;49021;9387;;
six;3;1042;20;6;20840;3126;;
elu;3;1041;21;6;21861;3123;;
national;8;1040;39;16;40560;8320;;
vraiment;8;1038;45;16;46710;8304;;
pense;5;1036;29;10;30044;5180;;
actuellement;12;1035;68;24;70380;12420;;
difficile;9;1033;52;18;53716;9297;;
climat;6;1033;29;12;29957;6198;;
classe;6;1033;30;12;30990;6198;;
feu;3;1032;20;6;20640;3096;;
objet;5;1030;27;10;27810;5150;;
idees;5;1030;27;10;27810;5150;;
haute;5;1029;25;10;25725;5145;;
lyon;4;1029;25;8;25725;4116;;
pourrait;8;1027;51;16;52377;8216;;
retrouve;8;1026;57;16;58482;8208;;
coup;4;1025;24;8;24600;4100;;
recherche;9;1023;52;18;53196;9207;;
langues;7;1020;36;14;36720;7140;;
toi;3;1020;17;6;17340;3060;;
v;1;1020;8;2;8160;1020;;
assemblee;9;1019;45;18;45855;9171;;
mots;4;1018;21;8;21378;4072;;
accord;6;1015;30;12;30450;6090;;
eviter;6;1015;40;12;40600;6090;;
aime;4;1013;17;8;17221;4052;;
oiseaux;7;1011;41;14;41451;7077;;
image;5;1010;20;10;20200;5050;;
peux;4;1010;30;8;30300;4040;;
finalement;10;1007;54;20;54378;10070;;
devenu;6;1005;37;12;37185;6030;;
planete;7;1004;40;14;40160;7028;;
version;7;1004;44;14;44176;7028;;
maladie;7;1001;32;14;32032;7007;;
developpement;13;999;80;26;79920;12987;;
carriere;8;999;50;16;49950;7992;;
ocean;5;998;23;10;22954;4990;;
courant;7;997;39;14;38883;6979;;
lois;4;996;24;8;23904;3984;;
terres;6;996;41;12;40836;5976;;
tel;3;995;20;6;19900;2985;;
livres;6;993;41;12;40713;5958;;
gaz;3;992;12;6;11904;2976;;
pratique;8;991;50;16;49550;7928;;
