word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
vous ,5,4254,0,82,82,0,5,5,0,348828,348828,21270,,,
etaient ,8,4244,0,82,82,0,8,8,0,348008,348008,33952,,,
lieu ,5,4206,0,52,52,0,5,5,0,218712,218712,21030,,,
ai ,3,4152,0,13,13,0,3,3,0,53976,53976,12456,,,
doit ,5,4141,0,53,53,0,5,5,0,219473,219473,20705,,,
terre ,6,4134,0,72,72,0,6,6,0,297648,297648,24804,,,
trouve ,7,4133,0,108,108,0,7,7,0,446364,446364,28931,,,
etat ,5,4129,0,51,51,0,5,5,0,210579,210579,20645,,,
e ,2,4058,0,7,7,0,2,2,0,28406,28406,8116,,,
faut ,5,4051,0,53,53,0,5,5,0,214703,214703,20255,,,
nombreux ,9,4048,0,121,121,0,9,9,0,489808,489808,36432,,,
soit ,5,4037,0,68,68,0,5,5,0,274516,274516,20185,,,
vikidia ,8,4014,0,73,73,0,8,8,0,293022,293022,32112,,,
quelques ,9,4005,0,126,126,0,9,9,0,504630,504630,36045,,,
chaque ,7,4001,0,62,62,0,7,7,0,248062,248062,28007,,,
annee ,6,3983,0,45,45,0,6,6,0,179235,179235,23898,,,
europe ,7,3982,0,87,87,0,7,7,0,346434,346434,27874,,,
environ ,8,3972,0,105,105,0,8,8,0,417060,417060,31776,,,
non ,4,3971,0,47,47,0,4,4,0,186637,186637,15884,,,
devient ,8,3965,0,87,87,0,8,8,0,344955,344955,31720,,,
fut ,4,3909,0,51,51,0,4,4,0,199359,199359,15636,,,
saint ,6,3907,0,69,69,0,6,6,0,269583,269583,23442,,,
enfants ,8,3894,0,87,87,0,8,8,0,338778,338778,31152,,,
existe ,7,3881,0,89,89,0,7,7,0,345409,345409,27167,,,
etats ,6,3856,0,71,71,0,6,6,0,273776,273776,23136,,,
celui ,6,3828,0,56,56,0,6,6,0,214368,214368,22968,,,
selon ,6,3821,0,71,71,0,6,6,0,271291,271291,22926,,,
cas ,4,3800,0,27,27,0,4,4,0,102600,102600,15200,,,
ci ,3,3762,0,15,15,0,3,3,0,56430,56430,11286,,,
pouvoir ,8,3692,0,124,124,0,8,8,0,457808,457808,29536,,,
famille ,8,3687,0,66,66,0,8,8,0,243342,243342,29496,,,
forme ,6,3674,0,63,63,0,6,6,0,231462,231462,22044,,,
lors ,5,3644,0,69,69,0,5,5,0,251436,251436,18220,,,
fils ,5,3609,0,51,51,0,5,5,0,184059,184059,18045,,,
va ,3,3583,0,26,26,0,3,3,0,93158,93158,10749,,,
empire ,7,3559,0,73,73,0,7,7,0,259807,259807,24913,,,
place ,6,3539,0,43,43,0,6,6,0,152177,152177,21234,,,
nombre ,7,3534,0,74,74,0,7,7,0,261516,261516,24738,,,
partir ,7,3507,0,89,89,0,7,7,0,312123,312123,24549,,,
francaise ,10,3506,0,86,86,0,10,10,0,301516,301516,35060,,,
hui ,4,3495,0,42,42,0,4,4,0,146790,146790,13980,,,
aujourd ,8,3487,0,98,98,0,8,8,0,341726,341726,27896,,,
permet ,7,3471,0,84,84,0,7,7,0,291564,291564,24297,,,
histoire ,9,3413,0,112,112,0,9,9,0,382256,382256,30717,,,
toutes ,7,3380,0,107,107,0,7,7,0,361660,361660,23660,,,
notamment ,10,3369,0,125,125,0,10,10,0,421125,421125,33690,,,
mer ,4,3366,0,40,40,0,4,4,0,134640,134640,13464,,,
royaume ,8,3360,0,106,106,0,8,8,0,356160,356160,26880,,,
jours ,6,3343,0,89,89,0,6,6,0,297527,297527,20058,,,
grace ,6,3343,0,40,40,0,6,6,0,133720,133720,20058,,,
habitants ,10,3290,0,104,104,0,10,10,0,342160,342160,32900,,,
cours ,6,3260,0,82,82,0,6,6,0,267320,267320,19560,,,
jour ,5,3258,0,69,69,0,5,5,0,224802,224802,16290,,,
me ,3,3237,0,21,21,0,3,3,0,67977,67977,9711,,,
homme ,6,3232,0,60,60,0,6,6,0,193920,193920,19392,,,
armee ,6,3220,0,48,48,0,6,6,0,154560,154560,19320,,,
toujours ,9,3200,0,148,148,0,9,9,0,473600,473600,28800,,,
petit ,6,3191,0,76,76,0,6,6,0,242516,242516,19146,,,
region ,7,3179,0,75,75,0,7,7,0,238425,238425,22253,,,
unis ,5,3165,0,68,68,0,5,5,0,215220,215220,15825,,,
celle ,6,3159,0,43,43,0,6,6,0,135837,135837,18954,,,
discussion ,11,3156,0,143,143,0,11,11,0,451308,451308,34716,,,
pres ,5,3147,0,63,63,0,5,5,0,198261,198261,15735,,,
h ,2,3115,0,10,10,0,2,2,0,31150,31150,6230,,,
sera ,5,3114,0,48,48,0,5,5,0,149472,149472,15570,,,
politique ,10,3111,0,134,134,0,10,10,0,416874,416874,31110,,,
km ,3,3101,0,27,27,0,3,3,0,83727,83727,9303,,,
surtout ,8,3087,0,142,142,0,8,8,0,438354,438354,24696,,,
ne ,3,3058,0,22,22,0,3,3,0,67276,67276,9174,,,
epoque ,7,3047,0,86,86,0,7,7,0,262042,262042,21329,,,
effet ,6,3043,0,48,48,0,6,6,0,146064,146064,18258,,,
gouvernement ,13,3037,0,172,172,0,13,13,0,522364,522364,39481,,,
animaux ,8,3033,0,91,91,0,8,8,0,276003,276003,24264,,,
debut ,6,3019,0,58,58,0,6,6,0,175102,175102,18114,,,
