word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
chemical ,9,1,24,19,43,9,9,18,24,19,43,9,,,
chemistry ,10,1,26,21,47,10,10,20,26,21,47,10,,,
chevy ,6,1,14,17,31,6,6,12,14,17,31,6,,,
child ,6,1,14,16,30,6,6,12,14,16,30,6,,,
children ,9,1,19,23,42,9,9,18,19,23,42,9,,,
chills ,7,1,18,17,35,7,7,14,18,17,35,7,,,
chlorine ,9,1,20,20,40,9,9,18,20,20,40,9,,,
circumstances ,14,1,35,32,67,14,14,28,35,32,67,14,,,
city ,5,1,12,11,23,5,5,10,12,11,23,5,,,
classical ,10,1,23,26,49,10,10,20,23,26,49,10,,,
claus ,6,1,12,18,30,6,6,12,12,18,30,6,,,
close ,6,1,13,13,26,6,6,12,13,13,26,6,,,
closed ,7,1,14,18,32,7,7,14,14,18,32,7,,,
coalition ,10,1,21,22,43,10,10,20,21,22,43,10,,,
cold ,5,1,10,14,24,5,5,10,10,14,24,5,,,
collapse ,9,1,20,23,43,9,9,18,20,23,43,9,,,
comment ,8,1,23,11,34,8,8,16,23,11,34,8,,,
committed ,10,1,25,19,44,10,10,20,25,19,44,10,,,
companies ,10,1,26,20,46,10,10,20,26,20,46,10,,,
complaints ,11,1,29,23,52,11,11,22,29,23,52,11,,,
complete ,9,1,22,18,40,9,9,18,22,18,40,9,,,
completely ,11,1,27,26,53,11,11,22,27,26,53,11,,,
concentrate ,12,1,25,22,47,12,12,24,25,22,47,12,,,
conferences ,12,1,27,24,51,12,12,24,27,24,51,12,,,
confidential ,13,1,27,31,58,13,13,26,27,31,58,13,,,
conscience ,11,1,28,20,48,11,11,22,28,20,48,11,,,
consequences ,13,1,32,28,60,13,13,26,32,28,60,13,,,
consideration ,14,1,28,32,60,14,14,28,28,32,60,14,,,
construction ,13,1,30,28,58,13,13,26,30,28,58,13,,,
contest ,8,1,18,12,30,8,8,16,18,12,30,8,,,
contrast ,9,1,19,17,36,9,9,18,19,17,36,9,,,
cooled ,7,1,13,18,31,7,7,14,13,18,31,7,,,
coronation ,11,1,23,22,45,11,11,22,23,22,45,11,,,
correct ,8,1,16,18,34,8,8,16,16,18,34,8,,,
correction ,11,1,23,24,47,11,11,22,23,24,47,11,,,
cottage ,8,1,15,17,32,8,8,16,15,17,32,8,,,
cotton ,7,1,16,10,26,7,7,14,16,10,26,7,,,
coupon ,7,1,17,17,34,7,7,14,17,17,34,7,,,
course ,7,1,13,19,32,7,7,14,13,19,32,7,,,
courts ,7,1,14,18,32,7,7,14,14,18,32,7,,,
cover ,6,1,10,18,28,6,6,12,10,18,28,6,,,
crowded ,8,1,16,23,39,8,8,16,16,23,39,8,,,
crown ,6,1,16,12,28,6,6,12,16,12,28,6,,,
cups ,5,1,13,14,27,5,5,10,13,14,27,5,,,
curve ,6,1,9,22,31,6,6,12,9,22,31,6,,,
custody ,8,1,17,23,40,8,8,16,17,23,40,8,,,
cut ,4,1,8,10,18,4,4,8,8,10,18,4,,,
daily ,6,1,10,20,30,6,6,12,10,20,30,6,,,
daring ,7,1,11,22,33,7,7,14,11,22,33,7,,,
dashing ,8,1,17,21,38,8,8,16,17,21,38,8,,,
date ,5,1,6,12,18,5,5,10,6,12,18,5,,,
daughters ,10,1,17,30,47,10,10,20,17,30,47,10,,,
decision ,9,1,19,21,40,9,9,18,19,21,40,9,,,
decisions ,10,1,22,23,45,10,10,20,22,23,45,10,,,
deed ,5,1,5,15,20,5,5,10,5,15,20,5,,,
delivery ,9,1,13,32,45,9,9,18,13,32,45,9,,,
denial ,7,1,11,19,30,7,7,14,11,19,30,7,,,
