word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
probleme ,9,946,0,23,23,0,9,9,0,21758,21758,8514,,,
style ,6,946,0,20,20,0,6,6,0,18920,18920,5676,,,
sorte ,6,946,0,21,21,0,6,6,0,19866,19866,5676,,,
etudes ,7,945,0,30,30,0,7,7,0,28350,28350,6615,,,
deputes ,8,945,0,23,23,0,8,8,0,21735,21735,7560,,,
victoire ,9,944,0,35,35,0,9,9,0,33040,33040,8496,,,
groupes ,8,943,0,27,27,0,8,8,0,25461,25461,7544,,,
ecrire ,7,941,0,35,35,0,7,7,0,32935,32935,6587,,,
cite ,5,941,0,17,17,0,5,5,0,15997,15997,4705,,,
organisation ,13,940,0,33,33,0,13,13,0,31020,31020,12220,,,
proteger ,9,940,0,54,54,0,9,9,0,50760,50760,8460,,,
cour ,5,937,0,16,16,0,5,5,0,14992,14992,4685,,,
uvres ,6,936,0,19,19,0,6,6,0,17784,17784,5616,,,
lequel ,7,935,0,21,21,0,7,7,0,19635,19635,6545,,,
liste ,6,934,0,9,9,0,6,6,0,8406,8406,5604,,,
aura ,5,933,0,25,25,0,5,5,0,23325,23325,4665,,,
scene ,6,931,0,29,29,0,6,6,0,26999,26999,5586,,,
harry ,6,930,0,43,43,0,6,6,0,39990,39990,5580,,,
prise ,6,930,0,11,11,0,6,6,0,10230,10230,5580,,,
personnages ,12,930,0,21,21,0,12,12,0,19530,19530,11160,,,
tandis ,7,926,0,29,29,0,7,7,0,26854,26854,6482,,,
plan ,5,925,0,13,13,0,5,5,0,12025,12025,4625,,,
pourtant ,9,925,0,16,16,0,9,9,0,14800,14800,8325,,,
f ,2,923,0,16,16,0,2,2,0,14768,14768,1846,,,
direction ,10,922,0,15,15,0,10,10,0,13830,13830,9220,,,
propre ,7,921,0,13,13,0,7,7,0,11973,11973,6447,,,
longue ,7,919,0,13,13,0,7,7,0,11947,11947,6433,,,
independance ,13,919,0,40,40,0,13,13,0,36760,36760,11947,,,
allemande ,10,918,0,29,29,0,10,10,0,26622,26622,9180,,,
represente ,11,916,0,60,60,0,11,11,0,54960,54960,10076,,,
principal ,10,916,0,17,17,0,10,10,0,15572,15572,9160,,,
chacun ,7,916,0,24,24,0,7,7,0,21984,21984,6412,,,
joue ,5,914,0,24,24,0,5,5,0,21936,21936,4570,,,
joueur ,7,913,0,24,24,0,7,7,0,21912,21912,6391,,,
passe ,6,912,0,11,11,0,6,6,0,10032,10032,5472,,,
temperature ,12,911,0,48,48,0,12,12,0,43728,43728,10932,,,
quelque ,8,911,0,15,15,0,8,8,0,13665,13665,7288,,,
sujet ,6,910,0,27,27,0,6,6,0,24570,24570,5460,,,
parties ,8,910,0,14,14,0,8,8,0,12740,12740,7280,,,
centrale ,9,910,0,24,24,0,9,9,0,21840,21840,8190,,,
ufs ,4,908,0,30,30,0,4,4,0,27240,27240,3632,,,
prince ,7,905,0,16,16,0,7,7,0,14480,14480,6335,,,
port ,5,904,0,12,12,0,5,5,0,10848,10848,4520,,,
utilisateur ,12,903,0,26,26,0,12,12,0,23478,23478,10836,,,
populaire ,10,898,0,21,21,0,10,10,0,18858,18858,8980,,,
voix ,5,898,0,31,31,0,5,5,0,27838,27838,4490,,,
autant ,7,897,0,26,26,0,7,7,0,23322,23322,6279,,,
etoile ,7,897,0,29,29,0,7,7,0,26013,26013,6279,,,
elections ,10,895,0,33,33,0,10,10,0,29535,29535,8950,,,
britannique ,12,894,0,33,33,0,12,12,0,29502,29502,10728,,,
presence ,9,894,0,37,37,0,9,9,0,33078,33078,8046,,,
journee ,8,892,0,33,33,0,8,8,0,29436,29436,7136,,,
anciens ,8,892,0,21,21,0,8,8,0,18732,18732,7136,,,
foret ,6,892,0,32,32,0,6,6,0,28544,28544,5352,,,
automne ,8,892,0,27,27,0,8,8,0,24084,24084,7136,,,
sept ,5,891,0,21,21,0,5,5,0,18711,18711,4455,,,
lune ,5,891,0,17,17,0,5,5,0,15147,15147,4455,,,
faisant ,8,890,0,19,19,0,8,8,0,16910,16910,7120,,,
route ,6,890,0,34,34,0,6,6,0,30260,30260,5340,,,
libre ,6,888,0,18,18,0,6,6,0,15984,15984,5328,,,
cree ,5,888,0,29,29,0,5,5,0,25752,25752,4440,,,
rend ,5,887,0,29,29,0,5,5,0,25723,25723,4435,,,
of ,3,886,0,32,32,0,3,3,0,28352,28352,2658,,,
siecles ,8,885,0,47,47,0,8,8,0,41595,41595,7080,,,
football ,9,884,0,25,25,0,9,9,0,22100,22100,7956,,,
morts ,6,884,0,22,22,0,6,6,0,19448,19448,5304,,,
couleurs ,9,883,0,25,25,0,9,9,0,22075,22075,7947,,,
jesus ,6,882,0,32,32,0,6,6,0,28224,28224,5292,,,
cuisine ,8,882,0,31,31,0,8,8,0,27342,27342,7056,,,
wikipedia ,10,881,0,48,48,0,10,10,0,42288,42288,8810,,,
travers ,8,880,0,26,26,0,8,8,0,22880,22880,7040,,,
meilleur ,9,879,0,28,28,0,9,9,0,24612,24612,7911,,,
londres ,8,878,0,20,20,0,8,8,0,17560,17560,7024,,,
antiquite ,10,878,0,30,30,0,10,10,0,26340,26340,8780,,,
second ,7,877,0,25,25,0,7,7,0,21925,21925,6139,,,
credit ,7,875,0,23,23,0,7,7,0,20125,20125,6125,,,
avis ,5,875,0,25,25,0,5,5,0,21875,21875,4375,,,
attaque ,8,874,0,24,24,0,8,8,0,20976,20976,6992,,,
vivant ,7,872,0,39,39,0,7,7,0,34008,34008,6104,,,
elements ,9,872,0,38,38,0,9,9,0,33136,33136,7848,,,
new ,4,871,0,28,28,0,4,4,0,24388,24388,3484,,,
amis ,5,871,0,28,28,0,5,5,0,24388,24388,4355,,,
europeens ,10,871,0,46,46,0,10,10,0,40066,40066,8710,,,
i ,2,870,0,22,22,0,2,2,0,19140,19140,1740,,,
roman ,6,870,0,40,40,0,6,6,0,34800,34800,5220,,,
informations ,13,869,0,38,38,0,13,13,0,33022,33022,11297,,,
dieux ,6,868,0,20,20,0,6,6,0,17360,17360,5208,,,
moitie ,7,867,0,27,27,0,7,7,0,23409,23409,6069,,,
arrivee ,8,867,0,43,43,0,8,8,0,37281,37281,6936,,,
depart ,7,865,0,20,20,0,7,7,0,17300,17300,6055,,,
jouer ,6,863,0,24,24,0,6,6,0,20712,20712,5178,,,
forte ,6,863,0,19,19,0,6,6,0,16397,16397,5178,,,
joueurs ,8,862,0,26,26,0,8,8,0,22412,22412,6896,,,
femelle ,8,861,0,26,26,0,8,8,0,22386,22386,6888,,,
fais ,5,856,0,17,17,0,5,5,0,14552,14552,4280,,,
sait ,5,856,0,18,18,0,5,5,0,15408,15408,4280,,,
peau ,5,855,0,20,20,0,5,5,0,17100,17100,4275,,,
bretagne ,9,854,0,31,31,0,9,9,0,26474,26474,7686,,,
problemes ,10,851,0,28,28,0,10,10,0,23828,23828,8510,,,
demi ,5,851,0,14,14,0,5,5,0,11914,11914,4255,,,
nee ,4,850,0,40,40,0,4,4,0,34000,34000,3400,,,
emission ,9,850,0,27,27,0,9,9,0,22950,22950,7650,,,
britanniques ,13,848,0,35,35,0,13,13,0,29680,29680,11024,,,
domaine ,8,847,0,18,18,0,8,8,0,15246,15246,6776,,,
insectes ,9,846,0,39,39,0,9,9,0,32994,32994,7614,,,
video ,6,845,0,36,36,0,6,6,0,30420,30420,5070,,,
americaine ,11,845,0,34,34,0,11,11,0,28730,28730,9295,,,
commun ,7,843,0,19,19,0,7,7,0,16017,16017,5901,,,
source ,7,843,0,20,20,0,7,7,0,16860,16860,5901,,,
auteur ,7,842,0,26,26,0,7,7,0,21892,21892,5894,,,
obtenir ,8,841,0,33,33,0,8,8,0,27753,27753,6728,,,
juifs ,6,839,0,26,26,0,6,6,0,21814,21814,5034,,,
contrairement ,14,837,0,27,27,0,14,14,0,22599,22599,11718,,,
seuls ,6,836,0,20,20,0,6,6,0,16720,16720,5016,,,
pieces ,7,835,0,28,28,0,7,7,0,23380,23380,5845,,,
finale ,7,835,0,16,16,0,7,7,0,13360,13360,5845,,,
heure ,6,833,0,31,31,0,6,6,0,25823,25823,4998,,,
siege ,6,833,0,32,32,0,6,6,0,26656,26656,4998,,,
