word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
themselves;10;270;47;20;12690;2700
anything;8;280;39;16;10920;2240
words;5;274;27;10;7398;1370
money;5;275;24;10;6600;1375
really;6;275;31;12;8525;1650
making;6;270;34;12;9180;1620
word;4;279;22;8;6138;1116
full;4;269;25;8;6725;1076
known;5;266;27;10;7182;1330
why;3;404;19;6;7676;1212
times;5;302;22;10;6644;1510
period;6;265;30;12;7950;1590
together;8;270;33;16;8910;2160
president;9;262;41;18;10742;2358
held;4;266;20;8;5320;1064
having;6;280;33;12;9240;1680
political;9;264;46;18;12144;2376
whether;7;286;31;14;8866;2002
information;11;269;50;22;13450;2959
cannot;6;258;25;12;6450;1548
already;7;273;35;14;9555;1911
real;4;261;18;8;4698;1044
service;7;324;35;14;11340;2268
shall;5;264;26;10;6864;1320
brought;7;253;38;14;9614;1771
seems;5;259;22;10;5698;1295
question;8;259;39;16;10101;2072
tell;4;271;18;8;4878;1084
keep;4;264;21;8;5544;1056
whose;5;251;24;10;6024;1255
today;5;284;24;10;6816;1420
field;5;279;26;10;7254;1395
sure;4;269;20;8;5380;1076
ago;3;246;15;6;3690;738
behind;6;258;30;12;7740;1548
moment;6;246;26;12;6396;1476
became;6;246;29;12;7134;1476
job;3;245;19;6;4655;735
result;6;244;29;12;7076;1464
self;4;249;20;8;4980;996
boy;3;251;18;6;4518;753
cost;4;248;18;8;4464;992
heard;5;248;23;10;5704;1240
problems;8;248;43;16;10664;1984
position;8;242;37;16;8954;1936
available;9;243;47;18;11421;2187
change;6;242;29;12;7018;1452
probably;8;261;47;16;12267;2088
reason;6;241;25;12;6025;1446
run;3;246;16;6;3936;738
study;5;246;28;10;6888;1230
short;5;244;22;10;5368;1220
miss;4;237;21;8;4977;948
individual;10;241;56;20;13496;2410
special;7;252;36;14;9072;1764
areas;5;236;21;10;4956;1180
major;5;255;27;10;6885;1275
close;5;239;24;10;5736;1195
century;7;255;35;14;8925;1785
level;5;236;26;10;6136;1180
age;3;242;14;6;3388;726
class;5;273;26;10;7098;1365
wife;4;231;21;8;4851;924
seem;4;229;17;8;3893;916
clear;5;228;24;10;5472;1140
policy;6;229;35;12;8015;1374
turn;4;235;19;8;4465;940
type;4;231;20;8;4620;924
air;3;267;14;6;3738;801
front;5;231;22;10;5082;1155
am;2;228;10;4;2280;456
wanted;6;226;27;12;6102;1356
church;6;351;34;12;11934;2106
hard;4;230;20;8;4600;920
six;3;248;18;6;4464;744
economic;8;247;38;16;9386;1976
necessary;9;223;42;18;9366;2007
rate;4;222;15;8;3330;888
company;7;293;38;14;11134;2051
surface;7;223;36;14;8028;1561
love;4;237;21;8;4977;948
voice;5;226;26;10;5876;1130
control;7;233;32;14;7456;1631
true;4;233;18;8;4194;932
woman;5;226;25;10;5650;1130
top;3;223;14;6;3122;669
future;6;229;31;12;7099;1374
able;4;216;20;8;4320;864
community;9;232;48;18;11136;2088
feel;4;216;18;8;3888;864
girl;4;225;23;8;5175;900
perhaps;7;307;36;14;11052;2149
town;4;227;18;8;4086;908
child;5;218;28;10;6104;1090
effect;6;215;27;12;5805;1290
office;6;256;30;12;7680;1536
provide;7;216;38;14;8208;1512
stood;5;212;22;10;4664;1060
morning;7;214;35;14;7490;1498
national;8;374;34;16;12716;2992
tax;3;222;15;6;3330;666
total;5;213;20;10;4260;1065
common;6;225;30;12;6750;1350
washington;10;208;48;20;9984;2080
million;7;208;36;14;7488;1456
although;8;321;41;16;13161;2568
following;9;222;49;18;10878;1998
value;5;207;28;10;5796;1035
students;8;213;36;16;7668;1704
party;5;224;26;10;5824;1120
land;4;223;20;8;4460;892
low;3;217;17;6;3689;651
military;8;219;41;16;8979;1752
near;4;211;16;8;3376;844
force;5;232;24;10;5568;1160
leave;5;207;24;10;4968;1035
play;4;205;24;8;4920;820
sound;5;205;26;10;5330;1025
english;7;201;35;14;7035;1407
evidence;8;204;38;16;7752;1632
music;5;221;29;10;6409;1105
believe;7;201;35;14;7035;1407
mean;4;200;17;8;3400;800
third;5;218;24;10;5232;1090
range;5;202;23;10;4646;1010
longer;6;197;29;12;5713;1182
mother;6;221;26;12;5746;1326
cut;3;206;16;6;3296;618
plan;4;205;21;8;4305;820
process;7;197;35;14;6895;1379
situation;9;196;40;18;7840;1764
single;6;198;30;12;5940;1188
strong;6;203;28;12;5684;1218
america;7;194;33;14;6402;1358
further;7;217;34;14;7378;1519
idea;4;196;18;8;3528;784
increase;8;195;35;16;6825;1560
lines;5;198;23;10;4554;990
says;4;200;21;8;4200;800
started;7;194;29;14;5626;1358
various;7;200;38;14;7600;1400
alone;5;197;21;10;4137;985
minutes;7;196;33;14;6468;1372
personal;8;197;38;16;7486;1576
road;4;212;19;8;4028;848
society;7;237;33;14;7821;1659
dr;2;192;11;4;2112;384
living;6;201;35;12;7035;1206
outside;7;210;33;14;6930;1470
pressure;8;194;40;16;7760;1552
center;6;229;24;12;5496;1374
gone;4;196;18;8;3528;784
ground;6;193;33;12;6369;1158
kept;4;190;21;8;3990;760
schools;7;195;35;14;6825;1365
looking;7;198;38;14;7524;1386
needed;6;189;25;12;4725;1134
usually;7;206;42;14;8652;1442
months;6;189;27;12;5103;1134
private;7;193;35;14;6755;1351
west;4;187;18;8;3366;748
art;3;211;12;6;2532;633
fire;4;204;19;8;3876;816
nature;6;192;26;12;4992;1152
values;6;188;33;12;6204;1128
expected;8;187;39;16;7293;1496
stage;5;187;22;10;4114;935
basis;5;184;26;10;4784;920
south;5;183;24;10;4392;915
call;4;189;22;8;4158;756
view;4;186;23;8;4278;744
women;5;196;24;10;4704;980
book;4;203;23;8;4669;812
modern;6;200;28;12;5600;1200
greater;7;188;30;14;5640;1316
hundred;7;181;36;14;6516;1267
moved;5;181;27;10;4887;905
wrote;5;181;22;10;3982;905
conditions;10;181;46;20;8326;1810
hour;4;180;21;8;3780;720
required;8;181;42;16;7602;1448
complete;8;182;38;16;6916;1456
black;5;224;31;10;6944;1120
dark;4;193;23;8;4439;772
particular;10;179;52;20;9308;1790
return;6;180;27;12;4860;1080
soon;4;199;17;8;3383;796
attention;9;179;33;18;5907;1611
education;9;216;42;18;9072;1944
support;7;180;38;14;6840;1260
else;4;176;17;8;2992;704
hours;5;177;26;10;4602;885
late;4;181;16;8;2896;724
live;4;178;22;8;3916;712
material;8;175;36;16;6300;1400
coming;6;177;32;12;5664;1062
lost;4;174;18;8;3132;696
developed;9;174;46;18;8004;1566
person;6;177;28;12;4956;1062
board;5;241;26;10;6266;1205
except;6;181;30;12;5430;1086
followed;8;172;42;16;7224;1376
heart;5;176;20;10;3520;880
space;5;185;25;10;4625;925
added;5;172;25;10;4300;860
amount;6;171;28;12;4788;1026
costs;5;175;23;10;4025;875
feeling;7;175;34;14;5950;1225
including;9;171;50;18;8550;1539
taking;6;181;31;12;5611;1086
pay;3;172;18;6;3096;516
reached;7;170;32;14;5440;1190
story;5;175;24;10;4200;875
tried;5;170;22;10;3740;850
act;3;284;13;6;3692;852
college;7;271;35;14;9485;1897
dead;4;177;19;8;3363;708
miles;5;173;25;10;4325;865
recent;6;179;24;12;4296;1074
move;4;171;21;8;3591;684
read;4;175;18;8;3150;700
b;1;167;7;2;1169;167
st;2;167;8;4;1336;334
data;4;178;17;8;3026;712
everything;10;185;50;20;9250;1850
father;6;189;26;12;4914;1134
picture;7;168;36;14;6048;1176
ten;3;184;10;6;1840;552
wide;4;169;21;8;3549;676
cold;4;176;22;8;3872;704
figure;6;209;33;12;6897;1254
shown;5;166;25;10;4150;830
simply;6;171;36;12;6156;1026
sometimes;9;222;40;18;8880;1998
equipment;9;168;46;18;7728;1512
hold;4;170;21;8;3570;680
makes;5;170;26;10;4420;850
department;10;164;44;20;7216;1640
basic;5;171;27;10;4617;855
care;4;166;18;8;2988;664
hope;4;177;19;8;3363;708
received;8;164;39;16;6396;1312
thus;4;163;20;8;3260;652
doing;5;163;26;10;4238;815
industry;8;173;42;16;7266;1384
inside;6;174;28;12;4872;1044
spirit;6;184;30;12;5520;1104
fine;4;174;18;8;3132;696
floor;5;163;25;10;4075;815
rest;4;164;16;8;2624;656
simple;6;166;32;12;5312;996
cent;4;161;16;8;2576;644
sort;4;164;17;8;2788;656
trying;6;162;31;12;5022;972
beyond;6;177;31;12;5487;1062
difficult;9;161;50;18;8050;1449
subject;7;161;39;14;6279;1127
terms;5;163;22;10;3586;815
beginning;9;164;46;18;7544;1476
getting;7;165;32;14;5280;1155
nor;3;195;13;6;2535;585
passed;6;159;30;12;4770;954
religious;9;166;47;18;7802;1494
states;6;159;23;12;3657;954
walked;6;159;34;12;5406;954
building;8;170;47;16;7990;1360
therefore;9;205;37;18;7585;1845
bring;5;158;28;10;4424;790
especially;10;162;52;20;8424;1620
paper;5;159;26;10;4134;795
england;7;155;34;14;5270;1085
higher;6;164;30;12;4920;984
written;7;156;30;14;4680;1092
natural;7;157;33;14;5181;1099
talk;4;156;21;8;3276;624
secretary;9;153;41;18;6273;1377
property;8;156;41;16;6396;1248
