word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
voulait ;8;391;17;27;44;8;8;16;6647;10557;17204;3128
element ;8;391;13;37;50;8;8;16;5083;14467;19550;3128
changement ;11;390;16;56;72;11;11;22;6240;21840;28080;4290
reseaux ;8;390;16;29;45;8;8;16;6240;11310;17550;3120
categories ;11;390;19;41;60;11;11;22;7410;15990;23400;4290
fera ;5;390;7;17;24;5;5;10;2730;6630;9360;1950
midi ;5;389;8;13;21;5;5;10;3112;5057;8169;1945
willy ;6;389;13;24;37;6;6;12;5057;9336;14393;2334
cercle ;7;389;10;26;36;7;7;14;3890;10114;14004;2723
rose ;5;389;10;17;27;5;5;10;3890;6613;10503;1945
nommee ;7;388;11;36;47;7;7;14;4268;13968;18236;2716
ours ;5;388;12;15;27;5;5;10;4656;5820;10476;1940
peninsule ;10;388;19;44;63;10;10;20;7372;17072;24444;3880
christianisme ;14;388;27;44;71;14;14;28;10476;17072;27548;5432
prisonniers ;12;388;26;42;68;12;12;24;10088;16296;26384;4656
garder ;7;387;11;24;35;7;7;14;4257;9288;13545;2709
adresse ;8;387;14;25;39;8;8;16;5418;9675;15093;3096
suivi ;6;387;14;14;28;6;6;12;5418;5418;10836;2322
