word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
pres;4;3147;13;8;40911;12588
h;1;3115;12;2;37380;3115
sera;4;3114;13;8;40482;12456
politique;9;3111;24;18;74664;27999
km;2;3101;21;4;65121;6202
surtout;7;3087;28;14;86436;21609
ne;2;3058;12;4;36696;6116
epoque;6;3047;34;12;103598;18282
effet;5;3043;17;10;51731;15215
gouvernement;12;3037;43;24;130591;36444
animaux;7;3033;27;14;81891;21231
debut;5;3019;21;10;63399;15095
cependant;9;3018;30;18;90540;27162
ouest;5;2997;23;10;68931;14985
mars;4;2986;17;8;50762;11944
age;3;2958;14;6;41412;8874
louis;5;2947;16;10;47152;14735
mai;3;2914;12;6;34968;8742
toute;5;2905;21;10;61005;14525
afin;4;2886;21;8;60606;11544
population;10;2880;32;20;92160;28800
compte;6;2868;21;12;60228;17208
pere;4;2868;17;8;48756;11472
te;2;2851;11;4;31361;5702
juin;4;2850;18;8;51300;11400
hommes;6;2849;27;12;76923;17094
eux;3;2837;15;6;42555;8511
president;9;2820;26;18;73320;25380
voir;4;2805;20;8;56100;11220
mois;4;2804;16;8;44864;11216
suite;5;2791;19;10;53029;13955
nombreuses;10;2788;39;20;108732;27880
nouveau;7;2785;30;14;83550;19495
corps;5;2756;21;10;57876;13780
parfois;7;2751;23;14;63273;19257
octobre;7;2732;27;14;73764;19124
ile;3;2730;15;6;40950;8190
cest;4;2727;14;8;38178;10908
ceux;4;2718;19;8;51642;10872
millions;8;2717;26;16;70642;21736
groupe;6;2712;24;12;65088;16272
republique;10;2712;39;20;105768;27120
pourquoi;8;2711;27;16;73197;21688
certaines;9;2701;27;18;72927;24309
dit;3;2699;10;6;26990;8097
janvier;7;2682;25;14;67050;18774
reste;5;2673;22;10;58806;13365
septembre;9;2648;31;18;82088;23832
nouvelle;8;2641;30;16;79230;21128
grands;6;2632;23;12;60536;15792
des;3;2626;8;6;21008;7878
trop;4;2618;20;8;52360;10472
ensuite;7;2614;22;14;57508;18298
personne;8;2608;23;16;59984;20864
chez;4;2602;15;8;39030;10408
quatre;6;2587;21;12;54327;15522
origine;7;2580;25;14;64500;18060
la;2;2559;5;4;12795;5118
r;1;2550;11;2;28050;2550
allemagne;9;2546;29;18;73834;22914
empereur;8;2519;32;16;80608;20152
article;7;2515;23;14;57845;17605
appelle;7;2496;28;14;69888;17472
general;7;2495;27;14;67365;17465
eu;2;2492;11;4;27412;4984
b;1;2477;11;2;27247;2477
font;4;2476;17;8;42092;9904
jeu;3;2464;14;6;34496;7392
juillet;7;2463;26;14;64038;17241
avril;5;2456;23;10;56488;12280
deja;4;2443;19;8;46417;9772
ca;2;2400;10;4;24000;4800
suis;4;2398;18;8;43164;9592
capitale;8;2393;30;16;71790;19144
centre;6;2340;21;12;49140;14040
petits;6;2331;21;12;48951;13986
veut;4;2329;24;8;55896;9316
tard;4;2312;20;8;46240;9248
anglais;7;2305;25;14;57625;16135
site;4;2292;16;8;36672;9168
tour;4;2290;20;8;45800;9160
ii;2;2284;20;4;45680;4568
droit;5;2280;16;10;36480;11400
etant;5;2271;20;10;45420;11355
dernier;7;2256;21;14;47376;15792
ensemble;8;2216;23;16;50968;17728
especes;7;2215;27;14;59805;15505
decembre;8;2210;30;16;66300;17680
novembre;8;2205;35;16;77175;17640
seul;4;2202;17;8;37434;8808
fevrier;7;2200;37;14;81400;15400
point;5;2188;16;10;35008;10940
langue;6;2188;17;12;37196;13128
aout;4;2187;27;8;59049;8748
italie;6;2185;23;12;50255;13110
jean;4;2183;16;8;34928;8732
notre;5;2171;26;10;56446;10855
travail;7;2169;25;14;54225;15183
grandes;7;2166;25;14;54150;15162
merci;5;2152;18;10;38736;10760
assez;5;2145;24;10;51480;10725
or;2;2133;13;4;27729;4266
ecole;5;2132;15;10;31980;10660
