word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
site;4;2292;18;12;41256;9168;;
tour;4;2290;23;12;52670;9160;;
ii;2;2284;20;6;45680;4568;;
droit;5;2280;14;8;31920;11400;;
etant;5;2271;23;15;52233;11355;;
dernier;7;2256;18;11;40608;15792;;
ensemble;8;2216;18;11;39888;17728;;
especes;7;2215;30;21;66450;15505;;
decembre;8;2210;34;24;75140;17680;;
novembre;8;2205;29;11;63945;17640;;
seul;4;2202;15;8;33030;8808;;
fevrier;7;2200;41;21;90200;15400;;
point;5;2188;18;11;39384;10940;;
langue;6;2188;20;14;43760;13128;;
aout;4;2187;23;8;50301;8748;;
italie;6;2185;23;11;50255;13110;;
jean;4;2183;18;8;39294;8732;;
notre;5;2171;20;8;43420;10855;;
travail;7;2169;30;17;65070;15183;;
grandes;7;2166;30;20;64980;15162;;
merci;5;2152;11;5;23672;10760;;
assez;5;2145;19;8;40755;10725;;
or;2;2133;14;6;29862;4266;;
ecole;5;2132;20;14;42640;10660;;
systeme;7;2124;21;8;44604;14868;;
serie;5;2116;26;14;55016;10580;;
long;4;2098;20;11;41960;8392;;
moyen;5;2080;23;11;47840;10400;;
parti;5;2070;23;14;47610;10350;;
mere;4;2070;24;12;49680;8280;;
ier;3;2068;15;8;31020;6204;;
periode;7;2062;33;21;68046;14434;;
durant;6;2057;12;8;24684;12342;;
agit;4;2050;21;11;43050;8200;;
differentes;11;2044;16;11;32704;22484;;
ayant;5;2034;20;8;40680;10170;;
jeux;4;2020;25;11;50500;8080;;
bonjour;7;2017;14;5;28238;14119;;
afrique;7;2003;26;14;52078;14021;;
chef;4;1984;16;11;31744;7936;;
autour;6;1982;24;11;47568;11892;;
differents;10;1973;15;11;29595;19730;;
generalement;12;1972;54;36;106488;23664;;
x;1;1968;13;3;25584;1968;;
page;4;1967;14;11;27538;7868;;
charles;7;1966;14;8;27524;13762;;
plupart;7;1963;22;14;43186;13741;;
doivent;7;1962;18;11;35316;13734;;
jeune;5;1960;20;8;39200;9800;;
tete;4;1958;23;12;45034;7832;;
mondiale;8;1955;23;14;44965;15640;;
villes;6;1953;29;17;56637;11718;;
rome;4;1953;17;8;33201;7812;;
mot;3;1952;19;9;37088;5856;;
part;4;1952;18;12;35136;7808;;
seconde;7;1952;17;11;33184;13664;;
petite;6;1943;22;11;42746;11658;;
metres;6;1935;34;18;65790;11610;;
dieu;4;1929;12;8;23148;7716;;
femmes;6;1924;20;11;38480;11544;;
face;4;1923;12;5;23076;7692;;
belgique;8;1890;24;14;45360;15120;;
cause;5;1889;21;11;39669;9445;;
musique;7;1888;16;8;30208;13216;;
situee;6;1886;16;8;30176;11316;;
jeunes;6;1876;26;11;48776;11256;;
ur;2;1868;10;6;18680;3736;;
haut;4;1865;23;11;42895;7460;;
appele;6;1865;29;18;54085;11190;;
aide;4;1865;21;11;39165;7460;;
donne;5;1856;22;14;40832;9280;;
pierre;6;1848;15;8;27720;11088;;
av;2;1848;16;6;29568;3696;;
ancien;6;1846;17;11;31382;11076;;
moment;6;1846;21;11;38766;11076;;
