word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
merci;5;2152;25;10;53800;10760
assez;5;2145;28;10;60060;10725
or;2;2133;11;4;23463;4266
ecole;5;2132;27;10;57564;10660
systeme;7;2124;39;14;82836;14868
serie;5;2116;23;10;48668;10580
long;4;2098;29;8;60842;8392
moyen;5;2080;34;10;70720;10400
parti;5;2070;26;10;53820;10350
mere;4;2070;18;8;37260;8280
ier;3;2068;14;6;28952;6204
periode;7;2062;34;14;70108;14434
durant;6;2057;35;12;71995;12342
agit;4;2050;24;8;49200;8200
differentes;11;2044;57;22;116508;22484
ayant;5;2034;33;10;67122;10170
jeux;4;2020;30;8;60600;8080
bonjour;7;2017;48;14;96816;14119
afrique;7;2003;41;14;82123;14021
chef;4;1984;22;8;43648;7936
autour;6;1982;38;12;75316;11892
differents;10;1973;53;20;104569;19730
generalement;12;1972;67;24;132124;23664
x;1;1968;10;2;19680;1968
page;4;1967;21;8;41307;7868
charles;7;1966;37;14;72742;13762
plupart;7;1963;40;14;78520;13741
doivent;7;1962;42;14;82404;13734
jeune;5;1960;32;10;62720;9800
tete;4;1958;20;8;39160;7832
mondiale;8;1955;47;16;91885;15640
villes;6;1953;36;12;70308;11718
rome;4;1953;21;8;41013;7812
mot;3;1952;19;6;37088;5856
part;4;1952;20;8;39040;7808
seconde;7;1952;37;14;72224;13664
petite;6;1943;31;12;60233;11658
metres;6;1935;29;12;56115;11610
dieu;4;1929;22;8;42438;7716
femmes;6;1924;31;12;59644;11544
face;4;1923;20;8;38460;7692
belgique;8;1890;50;16;94500;15120
cause;5;1889;27;10;51003;9445
musique;7;1888;45;14;84960;13216
situee;6;1886;33;12;62238;11316
jeunes;6;1876;37;12;69412;11256
ur;2;1868;12;4;22416;3736
haut;4;1865;26;8;48490;7460
appele;6;1865;30;12;55950;11190
aide;4;1865;19;8;35435;7460
donne;5;1856;31;10;57536;9280
pierre;6;1848;27;12;49896;11088
av;2;1848;12;4;22176;3696
ancien;6;1846;36;12;66456;11076
moment;6;1846;37;12;68302;11076
equipe;6;1831;35;12;64085;10986
ailleurs;8;1828;46;16;84088;14624
russie;6;1827;32;12;58464;10962
important;9;1822;53;18;96566;16398
soleil;6;1816;36;12;65376;10896
regions;7;1815;41;14;74415;12705
utilise;7;1811;42;14;76062;12677
avaient;7;1802;41;14;73882;12614
deuxieme;8;1801;46;16;82846;14408
connu;5;1801;36;10;64836;9005
jamais;6;1789;35;12;62615;10734
parmi;5;1784;26;10;46384;8920
mon;3;1783;21;6;37443;5349
lorsque;7;1780;43;14;76540;12460
ordre;5;1778;23;10;40894;8890
passe;5;1778;24;10;42672;8890
etc;3;1773;15;6;26595;5319
comment;7;1762;42;14;74004;12334
espagne;7;1757;38;14;66766;12299
fille;5;1751;30;10;52530;8755
film;4;1741;25;8;43525;6964
bois;4;1738;24;8;41712;6952
possible;8;1735;45;16;78075;13880
particulier;11;1721;60;22;103260;18931
an;2;1718;13;4;22334;3436
ecrit;5;1706;25;10;42650;8530
angleterre;10;1703;53;20;90259;17030
vient;5;1702;31;10;52762;8510
