word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
vu;2;1405;13;6;18265;2810;;
soldats;7;1403;35;21;49105;9821;;
palais;6;1403;30;18;42090;8418;;
napoleon;8;1401;42;24;58842;11208;;
frere;5;1398;34;15;47532;6990;;
commune;7;1391;41;21;57031;9737;;
importante;10;1389;57;30;79173;13890;;
espace;6;1386;28;18;38808;8316;;
celebre;7;1382;40;21;55280;9674;;
loi;3;1381;17;9;23477;4143;;
chateau;7;1380;37;21;51060;9660;;
as;2;1378;8;6;11024;2756;;
base;4;1373;19;12;26087;5492;;
meurt;5;1373;31;15;42563;6865;;
parle;5;1367;30;15;41010;6835;;
gens;4;1366;19;12;25954;5464;;
art;3;1365;19;9;25935;4095;;
plut;4;1362;24;12;32688;5448;;
marie;5;1352;29;15;39208;6760;;
films;5;1348;30;15;40440;6740;;
argent;6;1343;34;18;45662;8058;;
droite;6;1342;35;18;46970;8052;;
mes;3;1342;14;9;18788;4026;;
ados;4;1341;20;12;26820;5364;;
ici;3;1341;17;9;22797;4023;;
devenir;7;1339;39;21;52221;9373;;
chose;5;1332;28;15;37296;6660;;
besoin;6;1330;31;18;41230;7980;;
appelee;7;1327;33;21;43791;9289;;
principalement;14;1325;79;42;104675;18550;;
romains;7;1322;41;21;54202;9254;;
longtemps;9;1318;50;27;65900;11862;;
seront;6;1318;33;18;43494;7908;;
coree;5;1315;29;15;38135;6575;;
scientifique;12;1315;64;36;84160;15780;;
espece;6;1314;27;18;35478;7884;;
heures;6;1313;34;18;44642;7878;;
laquelle;8;1310;42;24;55020;10480;;
troisieme;9;1310;48;27;62880;11790;;
uvre;4;1310;26;12;34060;5240;;
rapidement;10;1307;55;30;71885;13070;;
enfin;5;1303;26;15;33878;6515;;
force;5;1302;34;15;44268;6510;;
conseil;7;1301;36;21;46836;9107;;
proche;6;1300;41;18;53300;7800;;
duc;3;1299;19;9;24681;3897;;
nomme;5;1297;28;15;36316;6485;;
produits;8;1296;49;24;63504;10368;;
vivent;6;1294;32;18;41408;7764;;
societe;7;1293;33;21;42669;9051;;
ton;3;1287;16;9;20592;3861;;
texte;5;1286;24;15;30864;6430;;
nationale;9;1279;43;27;54997;11511;;
presente;8;1277;40;24;51080;10216;;
plantes;7;1275;34;21;43350;8925;;
vote;4;1270;21;12;26670;5080;;
er;2;1267;13;6;16471;2534;;
idee;4;1263;17;12;21471;5052;;
allemand;8;1257;41;24;51537;10056;;
parler;6;1255;40;18;50200;7530;;
derniere;8;1253;45;24;56385;10024;;
nouvelles;9;1253;46;27;57638;11277;;
dessus;6;1252;27;18;33804;7512;;
nuit;4;1246;21;12;26166;4984;;
religion;8;1241;47;24;58327;9928;;
saison;6;1241;28;18;34748;7446;;
utilise;7;1240;34;21;42160;8680;;
presque;7;1240;41;21;50840;8680;;
rapport;7;1239;49;21;60711;8673;;
public;6;1238;39;18;48282;7428;;
japon;5;1238;31;15;38378;6190;;
interieur;9;1238;52;27;64376;11142;;
peuple;6;1237;32;18;39584;7422;;
regime;6;1237;35;18;43295;7422;;
maniere;7;1233;37;21;45621;8631;;
arrive;6;1231;39;18;48009;7386;;
reine;5;1229;26;15;31954;6145;;
super;5;1228;30;15;36840;6140;;
sert;4;1227;22;12;26994;4908;;
passer;6;1222;32;18;39104;7332;;
naissance;9;1222;41;27;50102;10998;;
pris;4;1221;26;12;31746;4884;;
plein;5;1213;26;15;31538;6065;;
politiques;10;1211;55;30;66605;12110;;
droits;6;1207;36;18;43452;7242;;
eleves;6;1205;26;18;31330;7230;;
pape;4;1197;21;12;25137;4788;;
xixe;4;1193;24;12;28632;4772;;
simple;6;1192;32;18;38144;7152;;
tant;4;1191;19;12;22629;4764;;
asie;4;1186;16;12;18976;4744;;
latin;5;1185;25;15;29625;5925;;
surface;7;1185;42;21;49770;8295;;
autriche;8;1184;48;24;56832;9472;;
education;9;1183;47;27;55601;10647;;
europeenne;10;1181;51;30;60231;11810;;
nouveaux;8;1180;45;24;53100;9440;;
philippe;8;1180;48;24;56640;9440;;
regne;5;1180;28;15;33040;5900;;
sens;4;1178;16;12;18848;4712;;
noir;4;1172;26;12;30472;4688;;
points;6;1171;32;18;37472;7026;;
utiliser;8;1170;44;24;51480;9360;;
celles;6;1168;29;18;33872;7008;;
service;7;1166;39;21;45474;8162;;
memes;5;1164;24;15;27936;5820;;
uni;3;1162;16;9;18592;3486;;
iles;4;1162;18;12;20916;4648;;
situation;9;1161;45;27;52245;10449;;
construction;12;1161;71;36;82431;13932;;
petites;7;1159;32;21;37088;8113;;
projet;6;1157;40;18;46280;6942;;
gros;4;1156;27;12;31212;4624;;
signifie;8;1151;42;24;48342;9208;;
photo;5;1150;32;15;36800;5750;;
henri;5;1147;31;15;35557;5735;;
vite;4;1146;20;12;22920;4584;;
action;6;1145;32;18;36640;6870;;
displaystyle;12;1139;68;36;77452;13668;;
gauche;6;1135;35;18;39725;6810;;
blanc;5;1132;30;15;33960;5660;;
catholique;10;1129;58;30;65482;11290;;
russe;5;1125;27;15;30375;5625;;
musee;5;1124;23;15;25852;5620;;
facon;5;1123;30;15;33690;5615;;
americain;9;1123;50;27;56150;10107;;
club;4;1123;27;12;30321;4492;;
compose;7;1117;40;21;44680;7819;;
rencontre;9;1112;54;27;60048;10008;;
production;10;1112;63;30;70056;11120;;
date;4;1109;18;12;19962;4436;;
rendre;6;1109;37;18;41033;6654;;
conditions;10;1109;54;30;59886;11090;;
decide;6;1109;30;18;33270;6654;;
retour;6;1108;40;18;44320;6648;;
choses;6;1106;32;18;35392;6636;;
vivre;5;1105;32;15;35360;5525;;
semaine;7;1101;31;21;34131;7707;;
coupe;5;1099;29;15;31871;5495;;
objets;6;1098;35;18;38430;6588;;
fort;4;1096;29;12;31784;4384;;
construit;9;1093;53;27;57929;9837;;
cm;2;1092;14;6;15288;2184;;
allemands;9;1091;45;27;49095;9819;;
terme;5;1084;28;15;30352;5420;;
pu;2;1084;13;6;14092;2168;;
personnage;10;1078;54;30;58212;10780;;
grec;4;1078;27;12;29106;4312;;
culture;7;1078;43;21;46354;7546;;
creation;8;1077;45;24;48465;8616;;
main;4;1075;21;12;22575;4300;;
appeles;7;1073;34;21;36482;7511;;
voit;4;1067;23;12;24541;4268;;
ancienne;8;1063;37;24;39331;8504;;
genre;5;1063;28;15;29764;5315;;
economique;10;1061;56;30;59416;10610;;
romaine;7;1061;40;21;42440;7427;;
aucun;5;1060;28;15;29680;5300;;
forment;7;1060;44;21;46640;7420;;
permettent;10;1057;53;30;56021;10570;;
troupes;7;1056;41;21;43296;7392;;
juste;5;1056;27;15;28512;5280;;
zone;4;1055;23;12;24265;4220;;
mise;4;1055;19;12;20045;4220;;
printemps;9;1051;53;27;55703;9459;;
vitesse;7;1050;31;21;32550;7350;;
majorite;8;1047;49;24;51303;8376;;
vue;3;1047;16;9;16752;3141;;
desormais;9;1043;49;27;51107;9387;;
six;3;1042;17;9;17714;3126;;
elu;3;1041;15;9;15615;3123;;
national;8;1040;40;24;41600;8320;;
vraiment;8;1038;46;24;47748;8304;;
pense;5;1036;22;15;22792;5180;;
actuellement;12;1035;60;36;62100;12420;;
difficile;9;1033;53;27;54749;9297;;
climat;6;1033;34;18;35122;6198;;
classe;6;1033;28;18;28924;6198;;
feu;3;1032;17;9;17544;3096;;
objet;5;1030;31;15;31930;5150;;
idees;5;1030;21;15;21630;5150;;
haute;5;1029;26;15;26754;5145;;
lyon;4;1029;26;12;26754;4116;;
pourrait;8;1027;53;24;54431;8216;;
retrouve;8;1026;50;24;51300;8208;;
coup;4;1025;26;12;26650;4100;;
recherche;9;1023;59;27;60357;9207;;
langues;7;1020;35;21;35700;7140;;
toi;3;1020;16;9;16320;3060;;
v;1;1020;7;3;7140;1020;;
assemblee;9;1019;42;27;42798;9171;;
mots;4;1018;22;12;22396;4072;;
accord;6;1015;40;18;40600;6090;;
eviter;6;1015;33;18;33495;6090;;
aime;4;1013;19;12;19247;4052;;
oiseaux;7;1011;36;21;36396;7077;;
image;5;1010;26;15;26260;5050;;
peux;4;1010;24;12;24240;4040;;
finalement;10;1007;51;30;51357;10070;;
devenu;6;1005;30;18;30150;6030;;
planete;7;1004;33;21;33132;7028;;
version;7;1004;40;21;40160;7028;;
maladie;7;1001;35;21;35035;7007;;
developpement;13;999;68;39;67932;12987;;
carriere;8;999;52;24;51948;7992;;
ocean;5;998;25;15;24950;4990;;
courant;7;997;43;21;42871;6979;;
lois;4;996;21;12;20916;3984;;
terres;6;996;35;18;34860;5976;;
tel;3;995;14;9;13930;2985;;
livres;6;993;35;18;34755;5958;;
gaz;3;992;20;9;19840;2976;;
pratique;8;991;48;24;47568;7928;;
scientifiques;13;990;68;39;67320;12870;;
traite;6;986;32;18;31552;5916;;
travaux;7;985;44;21;43340;6895;;
sauf;4;982;22;12;21604;3928;;
loin;4;981;22;12;21582;3924;;
nature;6;981;33;18;32373;5886;;
