word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
jean;4;2183;26;12;56758;8732;;;
notre;5;2171;34;15;73814;10855;;;
travail;7;2169;61;21;132309;15183;;;
grandes;7;2166;46;21;99636;15162;;;
merci;5;2152;46;15;98992;10760;;;
assez;5;2145;44;15;94380;10725;;;
or;2;2133;13;6;27729;4266;;;
ecole;5;2132;38;15;81016;10660;;;
systeme;7;2124;72;21;152928;14868;;;
serie;5;2116;42;15;88872;10580;;;
long;4;2098;32;12;67136;8392;;;
moyen;5;2080;46;15;95680;10400;;;
parti;5;2070;38;15;78660;10350;;;
mere;4;2070;37;12;76590;8280;;;
ier;3;2068;26;9;53768;6204;;;
periode;7;2062;50;21;103100;14434;;;
durant;6;2057;42;18;86394;12342;;;
agit;4;2050;33;12;67650;8200;;;
differentes;11;2044;85;33;173740;22484;;;
ayant;5;2034;35;15;71190;10170;;;
jeux;4;2020;44;12;88880;8080;;;
bonjour;7;2017;49;21;98833;14119;;;
afrique;7;2003;55;21;110165;14021;;;
chef;4;1984;30;12;59520;7936;;;
autour;6;1982;48;18;95136;11892;;;
differents;10;1973;78;30;153894;19730;;;
generalement;12;1972;95;36;187340;23664;;;
x;1;1968;14;3;27552;1968;;;
page;4;1967;25;12;49175;7868;;;
charles;7;1966;56;21;110096;13762;;;
plupart;7;1963;58;21;113854;13741;;;
doivent;7;1962;55;21;107910;13734;;;
jeune;5;1960;41;15;80360;9800;;;
tete;4;1958;34;12;66572;7832;;;
mondiale;8;1955;65;24;127075;15640;;;
villes;6;1953;67;18;130851;11718;;;
rome;4;1953;35;12;68355;7812;;;
mot;3;1952;30;9;58560;5856;;;
part;4;1952;27;12;52704;7808;;;
seconde;7;1952;43;21;83936;13664;;;
petite;6;1943;51;18;99093;11658;;;
metres;6;1935;56;18;108360;11610;;;
dieu;4;1929;35;12;67515;7716;;;
femmes;6;1924;61;18;117364;11544;;;
face;4;1923;23;12;44229;7692;;;
belgique;8;1890;70;24;132300;15120;;;
cause;5;1889;35;15;66115;9445;;;
musique;7;1888;71;21;134048;13216;;;
situee;6;1886;55;18;103730;11316;;;
jeunes;6;1876;50;18;93800;11256;;;
ur;2;1868;19;6;35492;3736;;;
haut;4;1865;34;12;63410;7460;;;
appele;6;1865;43;18;80195;11190;;;
aide;4;1865;27;12;50355;7460;;;
donne;5;1856;26;15;48256;9280;;;
pierre;6;1848;47;18;86856;11088;;;
av;2;1848;15;6;27720;3696;;;
ancien;6;1846;34;18;62764;11076;;;
moment;6;1846;56;18;103376;11076;;;
equipe;6;1831;49;18;89719;10986;;;
ailleurs;8;1828;77;24;140756;14624;;;
russie;6;1827;55;18;100485;10962;;;
important;9;1822;72;27;131184;16398;;;
soleil;6;1816;60;18;108960;10896;;;
regions;7;1815;53;21;96195;12705;;;
utilise;7;1811;73;21;132203;12677;;;
avaient;7;1802;50;21;90100;12614;;;
deuxieme;8;1801;78;24;140478;14408;;;
connu;5;1801;29;15;52229;9005;;;
jamais;6;1789;53;18;94817;10734;;;
parmi;5;1784;43;15;76712;8920;;;
mon;3;1783;24;9;42792;5349;;;
lorsque;7;1780;61;21;108580;12460;;;
ordre;5;1778;34;15;60452;8890;;;
passe;5;1778;34;15;60452;8890;;;
etc;3;1773;22;9;39006;5319;;;
comment;7;1762;61;21;107482;12334;;;
espagne;7;1757;45;21;79065;12299;;;
fille;5;1751;54;15;94554;8755;;;
film;4;1741;48;12;83568;6964;;;
bois;4;1738;29;12;50402;6952;;;
possible;8;1735;65;24;112775;13880;;;
particulier;11;1721;94;33;161774;18931;;;
an;2;1718;7;6;12026;3436;;;
ecrit;5;1706;41;15;69946;8530;;;
angleterre;10;1703;77;30;131131;17030;;;
vient;5;1702;44;15;74888;8510;;;
donne;5;1702;26;15;44252;8510;;;
premiers;8;1700;71;24;120700;13600;;;
niveau;6;1697;48;18;81456;10182;;;
articles;8;1696;67;24;113632;13568;;;
but;3;1691;25;9;42275;5073;;;
bas;3;1688;16;9;27008;5064;;;
territoire;10;1682;85;30;142970;16820;;;
mettre;6;1681;57;18;95817;10086;;;
lorsqu;6;1672;54;18;90288;10032;;;
prend;5;1669;31;15;51739;8345;;;
vit;3;1667;33;9;55011;5001;;;
amerique;8;1666;69;24;114954;13328;;;
titre;5;1663;46;15;76498;8315;;;
membres;7;1656;65;21;107640;11592;;;
prix;4;1650;39;12;64350;6600;;;
hiver;5;1647;48;15;79056;8235;;;
demande;7;1646;48;21;79008;11522;;;
contr;5;1644;32;15;52608;8220;;;
femme;5;1644;52;15;85488;8220;;;
commence;8;1642;63;24;103446;13136;;;
cree;4;1640;27;12;44280;6560;;;
eglise;6;1639;57;18;93423;9834;;;
seulement;9;1635;84;27;137340;14715;;;
vont;4;1633;31;12;50623;6532;;;
te;2;1632;17;6;27744;3264;;;
parce;5;1623;29;15;47067;8115;;;
revolution;10;1603;87;30;139461;16030;;;
bon;3;1598;13;9;20774;4794;;;
parents;7;1592;47;21;74824;11144;;;
lumiere;7;1590;73;21;116070;11130;;;
porte;5;1589;36;15;57204;7945;;;
question;8;1576;64;24;100864;12608;;;
aurait;6;1573;46;18;72358;9438;;;
cinq;4;1571;27;12;42417;6284;;;
possede;7;1566;49;21;76734;10962;;;
