word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
jours;5;3343;27;10;90261;16715;;;
grace;5;3343;25;10;83575;16715;;;
habitants;9;3290;44;18;144760;29610;;;
cours;5;3260;25;10;81500;16300;;;
jour;4;3258;24;8;78192;13032;;;
me;2;3237;9;4;29133;6474;;;
homme;5;3232;29;10;93728;16160;;;
armee;5;3220;21;10;67620;16100;;;
toujours;8;3200;43;16;137600;25600;;;
petit;5;3191;23;10;73393;15955;;;
region;6;3179;29;12;92191;19074;;;
unis;4;3165;16;8;50640;12660;;;
celle;5;3159;22;10;69498;15795;;;
discussion;10;3156;44;20;138864;31560;;;
pres;4;3147;17;8;53499;12588;;;
h;1;3115;8;2;24920;3115;;;
sera;4;3114;15;8;46710;12456;;;
politique;9;3111;45;18;139995;27999;;;
km;2;3101;15;4;46515;6202;;;
surtout;7;3087;34;14;104958;21609;;;
ne;2;3058;7;4;21406;6116;;;
epoque;6;3047;30;12;91410;18282;;;
effet;5;3043;25;10;76075;15215;;;
gouvernement;12;3037;58;24;176146;36444;;;
animaux;7;3033;35;14;106155;21231;;;
debut;5;3019;26;10;78494;15095;;;
cependant;9;3018;41;18;123738;27162;;;
ouest;5;2997;22;10;65934;14985;;;
mars;4;2986;18;8;53748;11944;;;
age;3;2958;14;6;41412;8874;;;
louis;5;2947;23;10;67781;14735;;;
mai;3;2914;14;6;40796;8742;;;
toute;5;2905;24;10;69720;14525;;;
afin;4;2886;19;8;54834;11544;;;
population;10;2880;51;20;146880;28800;;;
compte;6;2868;32;12;91776;17208;;;
pere;4;2868;17;8;48756;11472;;;
te;2;2851;8;4;22808;5702;;;
juin;4;2850;21;8;59850;11400;;;
hommes;6;2849;32;12;91168;17094;;;
eux;3;2837;16;6;45392;8511;;;
president;9;2820;39;18;109980;25380;;;
voir;4;2805;22;8;61710;11220;;;
mois;4;2804;19;8;53276;11216;;;
suite;5;2791;20;10;55820;13955;;;
nombreuses;10;2788;45;20;125460;27880;;;
nouveau;7;2785;34;14;94690;19495;;;
corps;5;2756;26;10;71656;13780;;;
parfois;7;2751;35;14;96285;19257;;;
octobre;7;2732;38;14;103816;19124;;;
ile;3;2730;12;6;32760;8190;;;
cest;4;2727;17;8;46359;10908;;;
ceux;4;2718;22;8;59796;10872;;;
