word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
spill ;6;2;31;12;62;12
sprawling ;10;2;52;20;104;20
staying ;8;2;37;16;74;16
still ;6;2;27;12;54;12
strike ;7;2;31;14;62;14
stuck ;6;2;31;12;62;12
subject ;8;2;43;16;86;16
system ;7;2;31;14;62;14
team ;5;2;18;10;36;10
ten ;4;2;12;8;24;8
these ;6;2;21;12;42;12
things ;7;2;31;14;62;14
think ;6;2;27;12;54;12
tickets ;8;2;35;16;70;16
tie ;4;2;13;8;26;8
times ;6;2;24;12;48;12
tomorrow ;9;2;40;18;80;18
tonight ;8;2;33;16;66;16
try ;4;2;17;8;34;8
visit ;6;2;28;12;56;12
wants ;6;2;25;12;50;12
warm ;5;2;24;10;48;10
wearing ;8;2;37;16;74;16
wears ;6;2;26;12;52;12
weekend ;8;2;36;16;72;16
were ;5;2;20;10;40;10
when ;5;2;21;10;42;10
wind ;5;2;24;10;48;10
window ;7;2;35;14;70;14
without ;8;2;36;16;72;16
world ;6;2;30;12;60;12
would ;6;2;32;12;64;12
yard ;5;2;24;10;48;10
zero ;5;2;23;10;46;10
abandoned ;10;1;45;20;45;10
aboard ;7;1;33;14;33;7
accept ;7;1;31;14;31;7
acceptance ;11;1;48;22;48;11
accompanied ;12;1;57;24;57;12
according ;10;1;49;20;49;10
account ;8;1;36;16;36;8
acutely ;8;1;38;16;38;8
addition ;9;1;39;18;39;9
adult ;6;1;28;12;28;6
advance ;8;1;37;16;37;8
afraid ;7;1;32;14;32;7
after ;6;1;23;12;23;6
again ;6;1;26;12;26;6
ages ;5;1;21;10;21;5
agreement ;10;1;40;20;40;10
ahead ;6;1;24;12;24;6
airport ;8;1;35;16;35;8
algorithm ;10;1;47;20;47;10
allergic ;9;1;44;18;44;9
alligator ;10;1;46;20;46;10
allotted ;9;1;37;18;37;9
almost ;7;1;30;14;30;7
amazing ;8;1;41;16;41;8
amount ;7;1;30;14;30;7
animal ;7;1;31;14;31;7
anniversary ;12;1;56;24;56;12
announce ;9;1;38;18;38;9
answered ;9;1;39;18;39;9
any ;4;1;17;8;17;4
anymore ;8;1;35;16;3
