word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
nouvelle;8;2641;33;16;87153;21128
grands;6;2632;23;12;60536;15792
des;3;2626;8;6;21008;7878
trop;4;2618;19;8;49742;10472
ensuite;7;2614;27;14;70578;18298
personne;8;2608;29;16;75632;20864
chez;4;2602;14;8;36428;10408
quatre;6;2587;25;12;64675;15522
origine;7;2580;27;14;69660;18060
la;2;2559;6;4;15354;5118
r;1;2550;9;2;22950;2550
allemagne;9;2546;31;18;78926;22914
empereur;8;2519;29;16;73051;20152
article;7;2515;27;14;67905;17605
appelle;7;2496;27;14;67392;17472
general;7;2495;29;14;72355;17465
eu;2;2492;9;4;22428;4984
b;1;2477;7;2;17339;2477
font;4;2476;20;8;49520;9904
jeu;3;2464;13;6;32032;7392
juillet;7;2463;28;14;68964;17241
avril;5;2456;24;10;58944;12280
deja;4;2443;15;8;36645;9772
ca;2;2400;7;4;16800;4800
suis;4;2398;19;8;45562;9592
capitale;8;2393;29;16;69397;19144
centre;6;2340;23;12;53820;14040
petits;6;2331;25;12;58275;13986
veut;4;2329;19;8;44251;9316
tard;4;2312;17;8;39304;9248
anglais;7;2305;26;14;59930;16135
site;4;2292;16;8;36672;9168
tour;4;2290;20;8;45800;9160
ii;2;2284;13;4;29692;4568
droit;5;2280;19;10;43320;11400
etant;5;2271;21;10;47691;11355
dernier;7;2256;23;14;51888;15792
ensemble;8;2216;25;16;55400;17728
especes;7;2215;26;14;57590;15505
decembre;8;2210;24;16;53040;17680
novembre;8;2205;33;16;72765;17640
seul;4;2202;17;8;37434;8808
fevrier;7;2200;32;14;70400;15400
point;5;2188;22;10;48136;10940
langue;6;2188;20;12;43760;13128
aout;4;2187;25;8;54675;8748
italie;6;2185;23;12;50255;13110
jean;4;2183;15;8;32745;8732
notre;5;2171;25;10;54275;10855
travail;7;2169;26;14;56394;15183
grandes;7;2166;25;14;54150;15162
merci;5;2152;17;10;36584;10760
assez;5;2145;23;10;49335;10725
or;2;2133;12;4;25596;4266
ecole;5;2132;16;10;34112;10660
systeme;7;2124;30;14;63720;14868
serie;5;2116;19;10;40204;10580
long;4;2098;14;8;29372;8392
moyen;5;2080;21;10;43680;10400
parti;5;2070;18;10;37260;10350
mere;4;2070;18;8;37260;8280
ier;3;2068;12;6;24816;6204
periode;7;2062;26;14;53612;14434
durant;6;2057;23;12;47311;12342
agit;4;2050;20;8;41000;8200
differentes;11;2044;43;22;87892;22484
ayant;5;2034;25;10;50850;10170
jeux;4;2020;18;8;36360;8080
bonjour;7;2017;35;14;70595;14119
afrique;7;2003;30;14;60090;14021
chef;4;1984;12;8;23808;7936
autour;6;1982;31;12;61442;11892
differents;10;1973;38;20;74974;19730
generalement;12;1972;47;24;92684;23664
x;1;1968;11;2;21648;1968
page;4;1967;11;8;21637;7868
charles;7;1966;26;14;51116;13762
plupart;7;1963;28;14;54964;13741
doivent;7;1962;26;14;51012;13734
jeune;5;1960;19;10;37240;9800
tete;4;1958;20;8;39160;7832
mondiale;8;1955;24;16;46920;15640
villes;6;1953;22;12;42966;11718
rome;4;1953;20;8;39060;7812
mot;3;1952;14;6;27328;5856
part;4;1952;15;8;29280;7808
seconde;7;1952;27;14;52704;13664
petite;6;1943;23;12;44689;11658
metres;6;1935;22;12;42570;11610
dieu;4;1929;16;8;30864;7716
femmes;6;1924;22;12;42328;11544
face;4;1923;11;8;21153;7692
belgique;8;1890;31;16;58590;15120
cause;5;1889;19;10;35891;9445
musique;7;1888;28;14;52864;13216
situee;6;1886;27;12;50922;11316
jeunes;6;1876;23;12;43148;11256
ur;2;1868;9;4;16812;3736
haut;4;1865;21;8;39165;7460
appele;6;1865;24;12;44760;11190
aide;4;1865;15;8;27975;7460
donne;5;1856;16;10;29696;9280
pierre;6;1848;20;12;36960;11088
av;2;1848;13;4;24024;3696
ancien;6;1846;21;12;38766;11076
moment;6;1846;23;12;42458;11076
equipe;6;1831;27;12;49437;10986
ailleurs;8;1828;30;16;54840;14624
russie;6;1827;29;12;52983;10962
important;9;1822;39;18;71058;16398
soleil;6;1816;23;12;41768;10896
regions;7;1815;32;14;58080;12705
utilise;7;1811;26;14;47086;12677
avaient;7;1802;29;14;52258;12614
deuxieme;8;1801;25;16;45025;14408
connu;5;1801;22;10;39622;9005
jamais;6;1789;21;12;37569;10734
parmi;5;1784;18;10;32112;8920
mon;3;1783;12;6;21396;5349
lorsque;7;1780;27;14;48060;12460
ordre;5;1778;20;10;35560;8890
passe;5;1778;17;10;30226;8890
etc;3;1773;13;6;23049;5319
comment;7;1762;25;14;44050;12334
espagne;7;1757;24;14;42168;12299
fille;5;1751;17;10;29767;8755
film;4;1741;16;8;27856;6964
bois;4;1738;21;8;36498;6952
possible;8;1735;27;16;46845;13880
particulier;11;1721;37;22;63677;18931
an;2;1718;10;4;17180;3436
ecrit;5;1706;19;10;32414;8530
angleterre;10;1703;38;20;64714;17030
vient;5;1702;21;10;35742;8510
donne;5;1702;16;10;27232;8510
premiers;8;1700;26;16;44200;13600
niveau;6;1697;26;12;44122;10182
articles;8;1696;31;16;52576;13568
but;3;1691;17;6;28747;5073
bas;3;1688;15;6;25320;5064
territoire;10;1682;38;20;63916;16820
mettre;6;1681;22;12;36982;10086
lorsqu;6;1672;25;12;41800;10032
prend;5;1669;16;10;26704;8345
vit;3;1667;15;6;25005;5001
amerique;8;1666;35;16;58310;13328
titre;5;1663;20;10;33260;8315
membres;7;1656;21;14;34776;11592
prix;4;1650;17;8;28050;6600
hiver;5;1647;23;10;37881;8235
demande;7;1646;17;14;27982;11522
contr;5;1644;21;10;34524;8220
femme;5;1644;17;10;27948;8220
commence;8;1642;24;16;39408;13136
cree;4;1640;15;8;24600;6560
eglise;6;1639;23;12;37697;9834
seulement;9;1635;33;18;53955;14715
vont;4;1633;20;8;32660;6532
te;2;1632;9;4;14688;3264
parce;5;1623;17;10;27591;8115
revolution;10;1603;47;20;75341;16030
bon;3;1598;16;6;25568;4794
parents;7;1592;27;14;42984;11144
lumiere;7;1590;24;14;38160;11130
porte;5;1589;21;10;33369;7945
question;8;1576;32;16;50432;12608
aurait;6;1573;27;12;42471;9438
cinq;4;1571;18;8;28278;6284
possede;7;1566;29;14;45414;10962
college;7;1563;22;14;34386;10941
prendre;7;1559;22;14;34298;10913
fonction;8;1557;34;16;52938;12456
rouge;5;1555;24;10;37320;7775
the;3;1555;12;6;18660;4665
mouvement;9;1548;35;18;54180;13932
tes;3;1546;14;6;21644;4638
seule;5;1543;19;10;29317;7715
departement;11;1543;40;22;61720;16973
couleur;7;1539;28;14;43092;10773
ministre;8;1533;29;16;44457;12264
ligne;5;1530;15;10;22950;7650
devant;6;1516;21;12;31836;9096
romain;6;1513;28;12;42364;9078
succes;6;1507;22;12;33154;9042
mieux;5;1505;19;10;28595;7525
militaire;9;1503;31;18;46593;13527
creer;5;1501;22;10;33022;7505
moi;3;1495;11;6;16445;4485
bonne;5;1488;22;10;32736;7440
mis;3;1487;12;6;17844;4461
