word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
femme;5;1644;24;10;39456;8220;;;
commence;8;1642;30;16;49260;13136;;;
cree;4;1640;14;8;22960;6560;;;
eglise;6;1639;23;12;37697;9834;;;
seulement;9;1635;31;18;50685;14715;;;
vont;4;1633;16;8;26128;6532;;;
te;2;1632;8;4;13056;3264;;;
parce;5;1623;18;10;29214;8115;;;
revolution;10;1603;38;20;60914;16030;;;
bon;3;1598;13;6;20774;4794;;;
parents;7;1592;23;14;36616;11144;;;
lumiere;7;1590;27;14;42930;11130;;;
porte;5;1589;16;10;25424;7945;;;
question;8;1576;28;16;44128;12608;;;
aurait;6;1573;20;12;31460;9438;;;
cinq;4;1571;19;8;29849;6284;;;
possede;7;1566;28;14;43848;10962;;;
college;7;1563;25;14;39075;10941;;;
prendre;7;1559;22;14;34298;10913;;;
fonction;8;1557;28;16;43596;12456;;;
rouge;5;1555;23;10;35765;7775;;;
the;3;1555;15;6;23325;4665;;;
mouvement;9;1548;33;18;51084;13932;;;
tes;3;1546;12;6;18552;4638;;;
seule;5;1543;18;10;27774;7715;;;
departement;11;1543;36;22;55548;16973;;;
couleur;7;1539;26;14;40014;10773;;;
ministre;8;1533;28;16;42924;12264;;;
ligne;5;1530;18;10;27540;7650;;;
devant;6;1516;15;12;22740;9096;;;
romain;6;1513;28;12;42364;9078;;;
succes;6;1507;24;12;36168;9042;;;
mieux;5;1505;20;10;30100;7525;;;
militaire;9;1503;34;18;51102;13527;;;
creer;5;1501;21;10;31521;7505;;;
moi;3;1495;15;6;22425;4485;;;
bonne;5;1488;18;10;26784;7440;;;
mis;3;1487;15;6;22305;4461;;;
chine;5;1487;21;10;31227;7435;;;
abord;5;1486;18;10;26748;7430;;;
savoir;6;1484;23;12;34132;8904;;;
mesure;6;1482;23;12;34086;8892;;;
taille;6;1481;23;12;34063;8886;;;
serait;6;1481;20;12;29620;8886;;;
air;3;1477;11;6;16247;4431;;;
situe;5;1475;20;10;29500;7375;;;
ni;2;1475;10;4;14750;2950;;;
nos;3;1475;16;6;23600;4425;;;
bataille;8;1475;29;16;42775;11800;;;
malgre;6;1474;23;12;33902;8844;;;
milieu;6;1469;28;12;41132;8814;;;
met;3;1457;12;6;17484;4371;;;
raison;6;1455;24;12;34920;8730;;;
mal;3;1455;15;6;21825;4365;;;
donner;6;1447;20;12;28940;8682;;;
union;5;1446;19;10;27474;7230;;;
enfant;6;1441;19;12;27379;8646;;;
produit;7;1440;24;14;34560;10080;;;
animal;6;1440;23;12;33120;8640;;;
trouver;7;1435;24;14;34440;10045;;;
sol;3;1432;15;6;21480;4296;;;
theatre;7;1429;28;14;40012;10003;;;
aller;5;1429;18;10;25722;7145;;;
rien;4;1428;16;8;22848;5712;;;
type;4;1422;17;8;24174;5688;;;
maison;6;1420;23;12;32660;8520;;;
livre;5;1420;19;10;26980;7100;;;
ma;2;1407;10;4;14070;2814;;;
energie;7;1406;24;14;33744;9842;;;
vu;2;1405;12;4;16860;2810;;;
soldats;7;1403;25;14;35075;9821;;;
palais;6;1403;22;12;30866;8418;;;
napoleon;8;1401;36;16;50436;11208;;;
frere;5;1398;24;10;33552;6990;;;
commune;7;1391;30;14;41730;9737;;;
importante;10;1389;38;20;52782;13890;;;
espace;6;1386;20;12;27720;8316;;;
celebre;7;1382;30;14;41460;9674;;;
loi;3;1381;13;6;17953;4143;;;
chateau;7;1380;28;14;38640;9660;;;
as;2;1378;8;4;11024;2756;;;
base;4;1373;16;8;21968;5492;;;
meurt;5;1373;20;10;27460;6865;;;
parle;5;1367;17;10;23239;6835;;;
gens;4;1366;14;8;19124;5464;;;
art;3;1365;10;6;13650;4095;;;
plut;4;1362;16;8;21792;5448;;;
marie;5;1352;21;10;28392;6760;;;
films;5;1348;24;10;32352;6740;;;
argent;6;1343;19;12;25517;8058;;;
droite;6;1342;18;12;24156;8052;;;
mes;3;1342;13;6;17446;4026;;;
ados;4;1341;18;8;24138;5364;;;
ici;3;1341;16;6;21456;4023;;;
devenir;7;1339;21;14;28119;9373;;;
chose;5;1332;21;10;27972;6660;;;
besoin;6;1330;24;12;31920;7980;;;
appelee;7;1327;30;14;39810;9289;;;
principalement;14;1325;50;28;66250;18550;;;
romains;7;1322;31;14;40982;9254;;;
longtemps;9;1318;34;18;44812;11862;;;
seront;6;1318;20;12;26360;7908;;;
