word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
sol;3;1432;18;9;25776;4296;;;
theatre;7;1429;25;14;35725;10003;;;
aller;5;1429;26;14;37154;7145;;;
rien;4;1428;15;5;21420;5712;;;
type;4;1422;28;11;39816;5688;;;
maison;6;1420;22;11;31240;8520;;;
livre;5;1420;24;11;34080;7100;;;
ma;2;1407;8;6;11256;2814;;;
energie;7;1406;34;21;47804;9842;;;
vu;2;1405;14;6;19670;2810;;;
soldats;7;1403;30;14;42090;9821;;;
palais;6;1403;20;11;28060;8418;;;
napoleon;8;1401;18;8;25218;11208;;;
frere;5;1398;29;14;40542;6990;;;
commune;7;1391;31;17;43121;9737;;;
importante;10;1389;30;14;41670;13890;;;
espace;6;1386;27;14;37422;8316;;;
celebre;7;1382;29;21;40078;9674;;;
loi;3;1381;14;9;19334;4143;;;
chateau;7;1380;30;21;41400;9660;;;
as;2;1378;11;6;15158;2756;;;
base;4;1373;22;11;30206;5492;;;
meurt;5;1373;26;11;35698;6865;;;
parle;5;1367;26;14;35542;6835;;;
gens;4;1366;20;12;27320;5464;;;
art;3;1365;16;9;21840;4095;;;
plut;4;1362;23;12;31326;5448;;;
marie;5;1352;20;11;27040;6760;;;
films;5;1348;28;14;37744;6740;;;
argent;6;1343;22;11;29546;8058;;;
droite;6;1342;23;11;30866;8052;;;
mes;3;1342;17;8;22814;4026;;;
ados;4;1341;21;12;28161;5364;;;
ici;3;1341;12;5;16092;4023;;;
devenir;7;1339;27;14;36153;9373;;;
chose;5;1332;24;14;31968;6660;;;
besoin;6;1330;22;11;29260;7980;;;
appelee;7;1327;37;21;49099;9289;;;
principalement;14;1325;25;11;33125;18550;;;
romains;7;1322;35;17;46270;9254;;;
longtemps;9;1318;21;11;27678;11862;;;
seront;6;1318;29;14;38222;7908;;;
coree;5;1315;22;15;28930;6575;;;
scientifique;12;1315;26;11;34190;15780;;;
espece;6;1314;19;8;24966;7884;;;
heures;6;1313;26;11;34138;7878;;;
laquelle;8;1310;22;11;28820;10480;;;
troisieme;9;1310;28;11;36680;11790;;;
uvre;4;1310;23;12;30130;5240;;;
rapidement;10;1307;18;8;23526;13070;;;
enfin;5;1303;14;5;18242;6515;;;
force;5;1302;26;14;33852;6510;;;
conseil;7;1301;29;17;37729;9107;;;
proche;6;1300;26;14;33800;7800;;;
duc;3;1299;13;9;16887;3897;;;
nomme;5;1297;25;11;32425;6485;;;
produits;8;1296;30;14;38880;10368;;;
vivent;6;1294;32;14;41408;7764;;;
societe;7;1293;23;11;29739;9051;;;
ton;3;1287;21;8;27027;3861;;;
texte;5;1286;26;11;33436;6430;;;
nationale;9;1279;31;14;39649;11511;;;
presente;8;1277;41;24;52357;10216;;;
plantes;7;1275;34;17;43350;8925;;;
vote;4;1270;29;11;36830;5080;;;
er;2;1267;12;6;15204;2534;;;
idee;4;1263;19;8;23997;5052;;;
allemand;8;1257;29;17;36453;10056;;;
parler;6;1255;29;14;36395;7530;;;
derniere;8;1253;22;11;27566;10024;;;
nouvelles;9;1253;33;14;41349;11277;;;
dessus;6;1252;29;14;36308;7512;;;
nuit;4;1246;24;8;29904;4984;;;
religion;8;1241;29;14;35989;9928;;;
saison;6;1241;28;14;34748;7446;;;
utilise;7;1240;14;5;17360;8680;;;
presque;7;1240;21;8;26040;8680;;;
rapport;7;1239;26;11;32214;8673;;;
public;6;1238;25;11;30950;7428;;;
japon;5;1238;21;11;25998;6190;;;
interieur;9;1238;45;27;55710;11142;;;
peuple;6;1237;29;14;35873;7422;;;
regime;6;1237;31;18;38347;7422;;;
maniere;7;1233;32;21;39456;8631;;;
arrive;6;1231;18;8;22158;7386;;;
reine;5;1229;25;11;30725;6145;;;
super;5;1228;22;8;27016;6140;;;
sert;4;1227;25;12;30675;4908;;;
passer;6;1222;32;14;39104;7332;;;
naissance;9;1222;21;11;25662;10998;;;
pris;4;1221;22;11;26862;4884;;;
plein;5;1213;20;8;24260;6065;;;
politiques;10;1211;34;17;41174;12110;;;
droits;6;1207;24;11;28968;7242;;;
eleves;6;1205;31;18;37355;7230;;;
pape;4;1197;21;12;25137;4788;;;
xixe;4;1193;27;11;32211;4772;;;
simple;6;1192;27;11;32184;7152;;;
tant;4;1191;17;8;20247;4764;;;
asie;4;1186;24;11;28464;4744;;;
latin;5;1185;20;11;23700;5925;;;
surface;7;1185;34;14;40290;8295;;;
autriche;8;1184;33;14;39072;9472;;;
education;9;1183;24;11;28392;10647;;;
europeenne;10;1181;37;17;43697;11810;;;
nouveaux;8;1180;34;14;40120;9440;;;
philippe;8;1180;17;8;20060;9440;;;
regne;5;1180;27;15;31860;5900;;;
sens;4;1178;26;11;30628;4712;;;
noir;4;1172;22;11;25784;4688;;;
points;6;1171;23;11;26933;7026;;;
utiliser;8;1170;22;8;25740;9360;;;
celles;6;1168;26;14;30368;7008;;;
service;7;1166;30;14;34980;8162;;;
memes;5;1164;26;15;30264;5820;;;
uni;3;1162;15;9;17430;3486;;;
iles;4;1162;20;11;23240;4648;;;
situation;9;1161;26;11;30186;10449;;;
construction;12;1161;46;26;53406;13932;;;
petites;7;1159;38;20;44042;8113;;;
projet;6;1157;28;14;32396;6942;;;
gros;4;1156;20;8;23120;4624;;;
signifie;8;1151;26;11;29926;9208;;;
photo;5;1150;22;11;25300;5750;;;
henri;5;1147;13;5;14911;5735;;;
vite;4;1146;19;8;21774;4584;;;
action;6;1145;20;11;22900;6870;;;
displaystyle;12;1139;28;14;31892;13668;;;
gauche;6;1135;22;11;24970;6810;;;
blanc;5;1132;25;14;28300;5660;;;
catholique;10;1129;21;11;23709;11290;;;
russe;5;1125;30;11;33750;5625;;;
musee;5;1124;27;11;30348;5620;;;
facon;5;1123;22;15;24706;5615;;;
americain;9;1123;39;27;43797;10107;;;
club;4;1123;20;11;22460;4492;;;
compose;7;1117;28;14;31276;7819;;;
rencontre;9;1112;29;14;32248;10008;;;
production;10;1112;31;14;34472;11120;;;
date;4;1109;19;11;21071;4436;;;
rendre;6;1109;32;14;35488;6654;;;
conditions;10;1109;28;17;31052;11090;;;
decide;6;1109;23;18;25507;6654;;;
retour;6;1108;26;11;28808;6648;;;
choses;6;1106;25;14;27650;6636;;;
vivre;5;1105;26;11;28730;5525;;;
semaine;7;1101;27;11;29727;7707;;;
coupe;5;1099;28;14;30772;5495;;;
objets;6;1098;25;11;27450;6588;;;
fort;4;1096;17;8;18632;4384;;;
construit;9;1093;25;14;27325;9837;;;
cm;2;1092;10;6;10920;2184;;;
allemands;9;1091;31;17;33821;9819;;;
terme;5;1084;31;14;33604;5420;;;
pu;2;1084;12;6;13008;2168;;;
personnage;10;1078;30;14;32340;10780;;;
grec;4;1078;18;12;19404;4312;;;
culture;7;1078;24;11;25872;7546;;;
creation;8;1077;23;14;24771;8616;;;
main;4;1075;17;12;18275;4300;;;
appeles;7;1073;38;21;40774;7511;;;
voit;4;1067;23;12;24541;4268;;;
ancienne;8;1063;19;11;20197;8504;;;
genre;5;1063;17;8;18071;5315;;;
economique;10;1061;49;30;51989;10610;;;
romaine;7;1061;34;17;36074;7427;;;
aucun;5;1060;21;8;22260;5300;;;
forment;7;1060;36;17;38160;7420;;;
permettent;10;1057;35;17;36995;10570;;;
troupes;7;1056;36;17;38016;7392;;;
juste;5;1056;20;8;21120;5280;;;
zone;4;1055;21;8;22155;4220;;;
mise;4;1055;23;11;24265;4220;;;
printemps;9;1051;33;17;34683;9459;;;
vitesse;7;1050;26;11;27300;7350;;;
majorite;8;1047;27;14;28269;8376;;;
vue;3;1047;21;8;21987;3141;;;
desormais;9;1043;44;27;45892;9387;;;
six;3;1042;20;8;20840;3126;;;
elu;3;1041;16;9;16656;3123;;;
national;8;1040;29;14;30160;8320;;;
vraiment;8;1038;18;5;18684;8304;;;
pense;5;1036;22;11;22792;5180;;;
actuellement;12;1035;13;8;13455;12420;;;
difficile;9;1033;20;11;20660;9297;;;
climat;6;1033;24;14;24792;6198;;;
