word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
mot;3;1952;17;6;33184;5856;;
part;4;1952;22;8;42944;7808;;
seconde;7;1952;42;14;81984;13664;;
petite;6;1943;40;12;77720;11658;;
metres;6;1935;36;12;69660;11610;;
dieu;4;1929;26;8;50154;7716;;
femmes;6;1924;36;12;69264;11544;;
face;4;1923;23;8;44229;7692;;
belgique;8;1890;50;16;94500;15120;;
cause;5;1889;29;10;54781;9445;;
musique;7;1888;46;14;86848;13216;;
situee;6;1886;40;12;75440;11316;;
jeunes;6;1876;39;12;73164;11256;;
ur;2;1868;13;4;24284;3736;;
haut;4;1865;22;8;41030;7460;;
appele;6;1865;39;12;72735;11190;;
aide;4;1865;21;8;39165;7460;;
donne;5;1856;29;10;53824;9280;;
pierre;6;1848;36;12;66528;11088;;
av;2;1848;9;4;16632;3696;;
ancien;6;1846;30;12;55380;11076;;
moment;6;1846;33;12;60918;11076;;
equipe;6;1831;42;12;76902;10986;;
ailleurs;8;1828;50;16;91400;14624;;
russie;6;1827;37;12;67599;10962;;
important;9;1822;49;18;89278;16398;;
soleil;6;1816;40;12;72640;10896;;
regions;7;1815;37;14;67155;12705;;
utilise;7;1811;46;14;83306;12677;;
avaient;7;1802;36;14;64872;12614;;
deuxieme;8;1801;52;16;93652;14408;;
connu;5;1801;29;10;52229;9005;;
jamais;6;1789;27;12;48303;10734;;
parmi;5;1784;24;10;42816;8920;;
mon;3;1783;15;6;26745;5349;;
lorsque;7;1780;48;14;85440;12460;;
ordre;5;1778;29;10;51562;8890;;
passe;5;1778;29;10;51562;8890;;
etc;3;1773;19;6;33687;5319;;
comment;7;1762;38;14;66956;12334;;
espagne;7;1757;38;14;66766;12299;;
fille;5;1751;36;10;63036;8755;;
film;4;1741;25;8;43525;6964;;
bois;4;1738;21;8;36498;6952;;
possible;8;1735;49;16;85015;13880;;
particulier;11;1721;65;22;111865;18931;;
an;2;1718;8;4;13744;3436;;
ecrit;5;1706;29;10;49474;8530;;
angleterre;10;1703;57;20;97071;17030;;
vient;5;1702;30;10;51060;8510;;
donne;5;1702;29;10;49358;8510;;
