word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
pourquoi;8;2711;11;5;29821;21688;;
certaines;9;2701;19;11;51319;24309;;
dit;3;2699;13;9;35087;8097;;
janvier;7;2682;24;11;64368;18774;;
reste;5;2673;18;5;48114;13365;;
septembre;9;2648;25;11;66200;23832;;
nouvelle;8;2641;24;11;63384;21128;;
grands;6;2632;30;18;78960;15792;;
des;3;2626;9;5;23634;7878;;
trop;4;2618;20;8;52360;10472;;
ensuite;7;2614;15;8;39210;18298;;
personne;8;2608;15;8;39120;20864;;
chez;4;2602;13;8;33826;10408;;
quatre;6;2587;22;11;56914;15522;;
origine;7;2580;30;14;77400;18060;;
la;2;2559;8;5;20472;5118;;
r;1;2550;11;3;28050;2550;;
allemagne;9;2546;28;17;71288;22914;;
empereur;8;2519;20;14;50380;20152;;
article;7;2515;17;8;42755;17605;;
appelle;7;2496;22;8;54912;17472;;
general;7;2495;24;11;59880;17465;;
eu;2;2492;12;6;29904;4984;;
b;1;2477;7;3;17339;2477;;
font;4;2476;20;11;49520;9904;;
jeu;3;2464;17;9;41888;7392;;
juillet;7;2463;22;11;54186;17241;;
avril;5;2456;24;11;58944;12280;;
deja;4;2443;21;12;51303;9772;;
ca;2;2400;9;6;21600;4800;;
suis;4;2398;26;12;62348;9592;;
capitale;8;2393;21;11;50253;19144;;
centre;6;2340;16;11;37440;14040;;
petits;6;2331;26;14;60606;13986;;
veut;4;2329;27;11;62883;9316;;
tard;4;2312;26;11;60112;9248;;
anglais;7;2305;23;11;53015;16135;;
site;4;2292;21;12;48132;9168;;
tour;4;2290;27;12;61830;9160;;
ii;2;2284;18;6;41112;4568;;
droit;5;2280;15;8;34200;11400;;
etant;5;2271;25;15;56775;11355;;
dernier;7;2256;18;11;40608;15792;;
ensemble;8;2216;18;11;39888;17728;;
especes;7;2215;35;21;77525;15505;;
decembre;8;2210;33;24;72930;17680;;
novembre;8;2205;29;11;63945;17640;;
seul;4;2202;18;8;39636;8808;;
fevrier;7;2200;40;21;88000;15400;;
point;5;2188;20;11;43760;10940;;
langue;6;2188;19;14;41572;13128;;
aout;4;2187;24;8;52488;8748;;
italie;6;2185;22;11;48070;13110;;
jean;4;2183;16;8;34928;8732;;
notre;5;2171;20;8;43420;10855;;
travail;7;2169;33;17;71577;15183;;
grandes;7;2166;32;20;69312;15162;;
merci;5;2152;10;5;21520;10760;;
assez;5;2145;18;8;38610;10725;;
or;2;2133;15;6;31995;4266;;
ecole;5;2132;23;14;49036;10660;;
systeme;7;2124;26;8;55224;14868;;
serie;5;2116;29;14;61364;10580;;
long;4;2098;19;11;39862;8392;;
moyen;5;2080;22;11;45760;10400;;
parti;5;2070;23;14;47610;10350;;
mere;4;2070;22;12;45540;8280;;
ier;3;2068;13;8;26884;6204;;
periode;7;2062;33;21;68046;14434;;
durant;6;2057;12;8;24684;12342;;
agit;4;2050;24;11;49200;8200;;
differentes;11;2044;15;11;30660;22484;;
ayant;5;2034;20;8;40680;10170;;
jeux;4;2020;23;11;46460;8080;;
bonjour;7;2017;12;5;24204;14119;;
afrique;7;2003;27;14;54081;14021;;
chef;4;1984;16;11;31744;7936;;
autour;6;1982;23;11;45586;11892;;
differents;10;1973;14;11;27622;19730;;
generalement;12;1972;58;36;114376;23664;;
x;1;1968;16;3;31488;1968;;
page;4;1967;15;11;29505;7868;;
charles;7;1966;14;8;27524;13762;;
plupart;7;1963;24;14;47112;13741;;
doivent;7;1962;19;11;37278;13734;;
jeune;5;1960;18;8;35280;9800;;
tete;4;1958;29;12;56782;7832;;
mondiale;8;1955;22;14;43010;15640;;
villes;6;1953;32;17;62496;11718;;
rome;4;1953;20;8;39060;7812;;
mot;3;1952;18;9;35136;5856;;
part;4;1952;18;12;35136;7808;;
seconde;7;1952;21;11;40992;13664;;
petite;6;1943;22;11;42746;11658;;
metres;6;1935;33;18;63855;11610;;
dieu;4;1929;12;8;23148;7716;;
femmes;6;1924;18;11;34632;11544;;
face;4;1923;11;5;21153;7692;;
belgique;8;1890;24;14;45360;15120;;
cause;5;1889;21;11;39669;9445;;
musique;7;1888;17;8;32096;13216;;
situee;6;1886;18;8;33948;11316;;
jeunes;6;1876;24;11;45024;11256;;
ur;2;1868;11;6;20548;3736;;
haut;4;1865;24;11;44760;7460;;
appele;6;1865;31;18;57815;11190;;
aide;4;1865;21;11;39165;7460;;
donne;5;1856;23;14;42688;9280;;
pierre;6;1848;13;8;24024;11088;;
av;2;1848;15;6;27720;3696;;
ancien;6;1846;16;11;29536;11076;;
moment;6;1846;20;11;36920;11076;;
equipe;6;1831;38;18;69578;10986;;
ailleurs;8;1828;17;8;31076;14624;;
russie;6;1827;36;14;65772;10962;;
important;9;1822;25;11;45550;16398;;
soleil;6;1816;25;11;45400;10896;;
regions;7;1815;40;21;72600;12705;;
utilise;7;1811;11;5;19921;12677;;
avaient;7;1802;25;11;45050;12614;;
deuxieme;8;1801;16;11;28816;14408;;
connu;5;1801;23;14;41423;9005;;
jamais;6;1789;16;8;28624;10734;;
parmi;5;1784;13;8;23192;8920;;
mon;3;1783;11;5;19613;5349;;
lorsque;7;1780;13;8;23140;12460;;
ordre;5;1778;21;8;37338;8890;;
passe;5;1778;18;11;32004;8890;;
etc;3;1773;16;8;28368;5319;;
comment;7;1762;14;8;24668;12334;;
espagne;7;1757;27;17;47439;12299;;
fille;5;1751;19;11;33269;8755;;
film;4;1741;20;12;34820;6964;;
bois;4;1738;23;11;39974;6952;;
possible;8;1735;22;11;38170;13880;;
particulier;11;1721;36;23;61956;18931;;
an;2;1718;10;6;17180;3436;;
ecrit;5;1706;24;15;40944;8530;;
angleterre;10;1703;25;14;42575;17030;;
vient;5;1702;24;11;40848;8510;;
donne;5;1702;23;14;39146;8510;;
premiers;8;1700;24;14;40800;13600;;
niveau;6;1697;24;11;40728;10182;;
articles;8;1696;25;14;42400;13568;;
but;3;1691;19;9;32129;5073;;
bas;3;1688;17;9;28696;5064;;
territoire;10;1682;29;14;48778;16820;;
mettre;6;1681;28;14;47068;10086;;
lorsqu;6;1672;29;18;48488;10032;;
prend;5;1669;21;15;35049;8345;;
vit;3;1667;22;9;36674;5001;;
amerique;8;1666;42;24;69972;13328;;
titre;5;1663;27;11;44901;8315;;
membres;7;1656;18;11;29808;11592;;
prix;4;1650;21;12;34650;6600;;
hiver;5;1647;27;11;44469;8235;;
demande;7;1646;15;11;24690;11522;;
contr;5;1644;24;15;39456;8220;;
femme;5;1644;17;11;27948;8220;;
commence;8;1642;24;14;39408;13136;;
