word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
toute;5;2905;20;10;58100;14525;;
afin;4;2886;22;8;63492;11544;;
population;10;2880;32;20;92160;28800;;
compte;6;2868;18;12;51624;17208;;
pere;4;2868;18;8;51624;11472;;
te;2;2851;10;4;28510;5702;;
juin;4;2850;19;8;54150;11400;;
hommes;6;2849;26;12;74074;17094;;
eux;3;2837;15;6;42555;8511;;
president;9;2820;25;18;70500;25380;;
voir;4;2805;19;8;53295;11220;;
mois;4;2804;17;8;47668;11216;;
suite;5;2791;19;10;53029;13955;;
nombreuses;10;2788;36;20;100368;27880;;
nouveau;7;2785;29;14;80765;19495;;
corps;5;2756;20;10;55120;13780;;
parfois;7;2751;24;14;66024;19257;;
octobre;7;2732;27;14;73764;19124;;
ile;3;2730;16;6;43680;8190;;
cest;4;2727;14;8;38178;10908;;
ceux;4;2718;18;8;48924;10872;;
millions;8;2717;27;16;73359;21736;;
groupe;6;2712;25;12;67800;16272;;
republique;10;2712;37;20;100344;27120;;
pourquoi;8;2711;27;16;73197;21688;;
certaines;9;2701;27;18;72927;24309;;
dit;3;2699;10;6;26990;8097;;
janvier;7;2682;26;14;69732;18774;;
reste;5;2673;21;10;56133;13365;;
septembre;9;2648;29;18;76792;23832;;
nouvelle;8;2641;29;16;76589;21128;;
grands;6;2632;24;12;63168;15792;;
des;3;2626;8;6;21008;7878;;
trop;4;2618;19;8;49742;10472;;
ensuite;7;2614;22;14;57508;18298;;
personne;8;2608;23;16;59984;20864;;
chez;4;2602;15;8;39030;10408;;
quatre;6;2587;21;12;54327;15522;;
origine;7;2580;24;14;61920;18060;;
la;2;2559;5;4;12795;5118;;
r;1;2550;10;2;25500;2550;;
allemagne;9;2546;28;18;71288;22914;;
empereur;8;2519;26;16;65494;20152;;
article;7;2515;23;14;57845;17605;;
appelle;7;2496;27;14;67392;17472;;
general;7;2495;28;14;69860;17465;;
eu;2;2492;11;4;27412;4984;;
b;1;2477;12;2;29724;2477;;
font;4;2476;17;8;42092;9904;;
jeu;3;2464;15;6;36960;7392;;
juillet;7;2463;27;14;66501;17241;;
avril;5;2456;23;10;56488;12280;;
deja;4;2443;20;8;48860;9772;;
ca;2;2400;10;4;24000;4800;;
suis;4;2398;18;8;43164;9592;;
capitale;8;2393;29;16;69397;19144;;
centre;6;2340;21;12;49140;14040;;
petits;6;2331;21;12;48951;13986;;
veut;4;2329;22;8;51238;9316;;
tard;4;2312;19;8;43928;9248;;
anglais;7;2305;25;14;57625;16135;;
site;4;2292;16;8;36672;9168;;
tour;4;2290;19;8;43510;9160;;
ii;2;2284;22;4;50248;4568;;
droit;5;2280;16;10;36480;11400;;
etant;5;2271;20;10;45420;11355;;
dernier;7;2256;21;14;47376;15792;;
ensemble;8;2216;23;16;50968;17728;;
especes;7;2215;27;14;59805;15505;;
decembre;8;2210;27;16;59670;17680;;
novembre;8;2205;32;16;70560;17640;;
seul;4;2202;16;8;35232;8808;;
fevrier;7;2200;36;14;79200;15400;;
point;5;2188;16;10;35008;10940;;
langue;6;2188;17;12;37196;13128;;
aout;4;2187;26;8;56862;8748;;
italie;6;2185;24;12;52440;13110;;
jean;4;2183;17;8;37111;8732;;
notre;5;2171;24;10;52104;10855;;
travail;7;2169;24;14;52056;15183;;
grandes;7;2166;26;14;56316;15162;;
merci;5;2152;19;10;40888;10760;;
assez;5;2145;23;10;49335;10725;;
or;2;2133;12;4;25596;4266;;
ecole;5;2132;17;10;36244;10660;;
systeme;7;2124;28;14;59472;14868;;
serie;5;2116;19;10;40204;10580;;
long;4;2098;10;8;20980;8392;;
moyen;5;2080;23;10;47840;10400;;
parti;5;2070;13;10;26910;10350;;
mere;4;2070;26;8;53820;8280;;
ier;3;2068;15;6;31020;6204;;
periode;7;2062;25;14;51550;14434;;
