word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
positif;7;148;41;14;6068;1036
demain;6;117;33;12;3861;702
programme;9;756;48;18;36288;6804
concretement;12;64;67;24;4288;768
invites;7;174;42;14;7308;1218
devront;7;172;40;14;6880;1204
couleur;7;1539;43;14;66177;10773
partout;7;706;41;14;28946;4942
fil;3;549;19;6;10431;1647
ludiques;8;13;50;16;650;104
baladins;8;5;46;16;230;40
monsieur;8;163;48;16;7824;1304
loyal;5;21;35;10;735;105
animer;6;26;33;12;858;156
cirque;6;507;35;12;17745;3042
participant;11;89;61;22;5429;979
jeux;4;2020;30;8;60600;8080
adresse;7;387;31;14;11997;2709
decor;5;209;24;10;5016;1045
unique;6;695;42;12;29190;4170
louveteaux;10;10;66;20;660;100
ramener;7;110;35;14;3850;770
jungle;6;75;42;12;3150;450
tas;3;90;16;6;1440;270
livre;5;1420;28;10;39760;7100
eclaireurs;10;12;52;20;624;120
prendront;9;31;50;18;1550;279
course;6;713;33;12;23529;4278
orientation;11;138;67;22;9246;1518
quete;5;148;30;10;4440;740
logo;4;123;28;8;3444;492
enfin;5;1303;32;10;41696;6515
pionniers;9;50;53;18;2650;450
partiront;9;11;51;18;561;99
randonnee;9;40;52;18;2080;360
vivre;5;1105;28;10;30940;5525
chasse;6;761;31;12;23591;4566
tresors;7;68;35;14;2380;476
hors;4;637;23;8;14651;2548
commun;6;843;40;12;33720;5058
epater;6;4;28;12;112;24
spectacles;10;223;51;20;11373;2230
prevus;6;68;33;12;2244;408
