word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
objets ,7,1098,28,14,30744,7686,,,
fort ,5,1096,22,10,24112,5480,,,
construit ,10,1093,40,20,43720,10930,,,
cm ,3,1092,15,6,16380,3276,,,
allemands ,10,1091,34,20,37094,10910,,,
terme ,6,1084,20,12,21680,6504,,,
pu ,3,1084,12,6,13008,3252,,,
personnage ,11,1078,39,22,42042,11858,,,
grec ,5,1078,18,10,19404,5390,,,
culture ,8,1078,31,16,33418,8624,,,
creation ,9,1077,37,18,39849,9693,,,
main ,5,1075,18,10,19350,5375,,,
appeles ,8,1073,31,16,33263,8584,,,
voit ,5,1067,21,10,22407,5335,,,
ancienne ,9,1063,30,18,31890,9567,,,
genre ,6,1063,22,12,23386,6378,,,
economique ,11,1061,40,22,42440,11671,,,
romaine ,8,1061,32,16,33952,8488,,,
aucun ,6,1060,26,12,27560,6360,,,
forment ,8,1060,33,16,34980,8480,,,
permettent ,11,1057,41,22,43337,11627,,,
troupes ,8,1056,31,16,32736,8448,,,
juste ,6,1056,24,12,25344,6336,,,
zone ,5,1055,21,10,22155,5275,,,
mise ,5,1055,17,10,17935,5275,,,
printemps ,10,1051,36,20,37836,10510,,,
vitesse ,8,1050,30,16,31500,8400,,,
majorite ,9,1047,33,18,34551,9423,,,
vue ,4,1047,16,8,16752,4188,,,
desormais ,10,1043,34,20,35462,10430,,,
six ,4,1042,18,8,18756,4168,,,
elu ,4,1041,14,8,14574,4164,,,
national ,9,1040,39,18,40560,9360,,,
vraiment ,9,1038,34,18,35292,9342,,,
pense ,6,1036,20,12,20720,6216,,,
actuellement ,13,1035,45,26,46575,13455,,,
difficile ,10,1033,27,20,27891,10330,,,
climat ,7,1033,24,14,24792,7231,,,
classe ,7,1033,24,14,24792,7231,,,
feu ,4,1032,17,8,17544,4128,,,
objet ,6,1030,24,12,24720,6180,,,
idees ,6,1030,24,12,24720,6180,,,
haute ,6,1029,25,12,25725,6174,,,
lyon ,5,1029,21,10,21609,5145,,,
pourrait ,9,1027,34,18,34918,9243,,,
retrouve ,9,1026,39,18,40014,9234,,,
coup ,5,1025,20,10,20500,5125,,,
recherche ,10,1023,32,20,32736,10230,,,
langues ,8,1020,26,16,26520,8160,,,
toi ,4,1020,16,8,16320,4080,,,
v ,2,1020,11,4,11220,2040,,,
assemblee ,10,1019,39,20,39741,10190,,,
mots ,5,1018,20,10,20360,5090,,,
accord ,7,1015,23,14,23345,7105,,,
eviter ,7,1015,29,14,29435,7105,,,
aime ,5,1013,17,10,17221,5065,,,
oiseaux ,8,1011,32,16,32352,8088,,,
image ,6,1010,19,12,19190,6060,,,
peux ,5,1010,21,10,21210,5050,,,
finalement ,11,1007,35,22,35245,11077,,,
devenu ,7,1005,24,14,24120,7035,,,
planete ,8,1004,26,16,26104,8032,,,
version ,8,1004,30,16,30120,8032,,,
maladie ,8,1001,23,16,23023,8008,,,
developpement ,14,999,47,28,46953,13986,,,
carriere ,9,999,31,18,30969,8991,,,
ocean ,6,998,22,12,21956,5988,,,
courant ,8,997,31,16,30907,7976,,,
lois ,5,996,16,10,15936,4980,,,
terres ,7,996,26,14,25896,6972,,,
tel ,4,995,15,8,14925,3980,,,
livres ,7,993,24,14,23832,6951,,,
gaz ,4,992,19,8,18848,3968,,,
pratique ,9,991,33,18,32703,8919,,,
scientifiques ,14,990,51,28,50490,13860,,,
traite ,7,986,26,14,25636,6902,,,
travaux ,8,985,32,16,31520,7880,,,
sauf ,5,982,21,10,20622,4910,,,
loin ,5,981,18,10,17658,4905,,,
nature ,7,981,32,14,31392,6867,,,
egypte ,7,977,27,14,26379,6839,,,
epouse ,7,977,28,14,27356,6839,,,
premieres ,10,973,32,20,31136,9730,,,
moyenne ,8,972,30,16,29160,7776,,,
combat ,7,970,22,14,21340,6790,,,
sort ,5,962,24,10,23088,4810,,,
paix ,5,960,18,10,17280,4800,,,
fer ,4,960,17,8,16320,3840,,,
sang ,5,958,19,10,18202,4790,,,
aider ,6,957,21,12,20097,5742,,,
cinema ,7,957,25,14,23925,6699,,,
album ,6,957,27,12,25839,5742,,,
maintenant ,11,956,41,22,39196,10516,,,
furent ,7,955,28,14,26740,6685,,,
militaires ,11,955,37,22,35335,10505,,,
poissons ,9,954,37,18,35298,8586,,,
connue ,7,952,27,14,25704,6664,,,
liberte ,8,952,26,16,24752,7616,,,
dix ,4,951,14,8,13314,3804,,,
yeux ,5,951,23,10,21873,4755,,,
francois ,9,950,31,18,29450,8550,,,
considere ,10,947,34,20,32198,9470,,,
quoi ,5,946,19,10,17974,4730,,,
probleme ,9,946,29,18,27434,8514,,,
style ,6,946,24,12,22704,5676,,,
sorte ,6,946,25,12,23650,5676,,,
etudes ,7,945,24,14,22680,6615,,,
deputes ,8,945,31,16,29295,7560,,,
victoire ,9,944,33,18,31152,8496,,,
groupes ,8,943,32,16,30176,7544,,,
ecrire ,7,941,24,14,22584,6587,,,
cite ,5,941,17,10,15997,4705,,,
organisation ,13,940,50,26,47000,12220,,,
proteger ,9,940,38,18,35720,8460,,,
cour ,5,937,19,10,17803,4685,,,
uvres ,6,936,24,12,22464,5616,,,
lequel ,7,935,24,14,22440,6545,,,
liste ,6,934,19,12,17746,5604,,,
aura ,5,933,21,10,19593,4665,,,
scene ,6,931,24,12,22344,5586,,,
harry ,6,930,28,12,26040,5580,,,
prise ,6,930,19,12,17670,5580,,,
personnages ,12,930,43,24,39990,11160,,,
tandis ,7,926,26,14,24076,6482,,,
plan ,5,925,15,10,13875,4625,,,
pourtant ,9,925,36,18,33300,8325,,,
f ,2,923,10,4,9230,1846,,,
direction ,10,922,32,20,29504,9220,,,
propre ,7,921,25,14,23025,6447,,,
longue ,7,919,23,14,21137,6433,,,
independance ,13,919,41,26,37679,11947,,,
allemande ,10,918,32,20,29376,9180,,,
represente ,11,916,50,22,45800,10076,,,
principal ,10,916,33,20,30228,9160,,,
chacun ,7,916,23,14,21068,6412,,,
joue ,5,914,19,10,17366,4570,,,
joueur ,7,913,28,14,25564,6391,,,
