word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
mere,4,2070,33,4,68310,8280,,
ier,3,2068,20,3,41360,6204,,
periode,7,2062,34,7,70108,14434,,
durant,6,2057,13,6,26741,12342,,
agit,4,2050,26,4,53300,8200,,
differentes,11,2044,49,11,100156,22484,,
ayant,5,2034,31,5,63054,10170,,
jeux,4,2020,23,4,46460,8080,,
bonjour,7,2017,41,7,82697,14119,,
afrique,7,2003,32,7,64096,14021,,
chef,4,1984,15,4,29760,7936,,
autour,6,1982,23,6,45586,11892,,
differents,10,1973,44,10,86812,19730,,
generalement,12,1972,45,12,88740,23664,,
x,1,1968,27,1,53136,1968,,
page,4,1967,10,4,19670,7868,,
charles,7,1966,22,7,43252,13762,,
plupart,7,1963,15,7,29445,13741,,
doivent,7,1962,16,7,31392,13734,,
jeune,5,1960,21,5,41160,9800,,
tete,4,1958,37,4,72446,7832,,
mondiale,8,1955,22,8,43010,15640,,
villes,6,1953,33,6,64449,11718,,
rome,4,1953,35,4,68355,7812,,
mot,3,1952,21,3,40992,5856,,
part,4,1952,7,4,13664,7808,,
seconde,7,1952,26,7,50752,13664,,
petite,6,1943,18,6,34974,11658,,
metres,6,1935,32,6,61920,11610,,
dieu,4,1929,17,4,32793,7716,,
femmes,6,1924,23,6,44252,11544,,
face,4,1923,14,4,26922,7692,,
belgique,8,1890,33,8,62370,15120,,
cause,5,1889,24,5,45336,9445,,
musique,7,1888,27,7,50976,13216,,
situee,6,1886,32,6,60352,11316,,
jeunes,6,1876,22,6,41272,11256,,
ur,2,1868,5,2,9340,3736,,
haut,4,1865,29,4,54085,7460,,
appele,6,1865,28,6,52220,11190,,
aide,4,1865,22,4,41030,7460,,
donne,5,1856,12,5,22272,9280,,
pierre,6,1848,16,6,29568,11088,,
av,2,1848,19,2,35112,3696,,
ancien,6,1846,18,6,33228,11076,,
moment,6,1846,28,6,51688,11076,,
equipe,6,1831,39,6,71409,10986,,
ailleurs,8,1828,26,8,47528,14624,,
russie,6,1827,39,6,71253,10962,,
important,9,1822,35,9,63770,16398,,
soleil,6,1816,23,6,41768,10896,,
regions,7,1815,42,7,76230,12705,,
utilise,7,1811,20,7,36220,12677,,
avaient,7,1802,26,7,46852,12614,,
deuxieme,8,1801,21,8,37821,14408,,
connu,5,1801,18,5,32418,9005,,
jamais,6,1789,25,6,44725,10734,,
parmi,5,1784,14,5,24976,8920,,
mon,3,1783,16,3,28528,5349,,
lorsque,7,1780,14,7,24920,12460,,
ordre,5,1778,23,5,40894,8890,,
passe,5,1778,9,5,16002,8890,,
etc,3,1773,21,3,37233,5319,,
comment,7,1762,16,7,28192,12334,,
espagne,7,1757,20,7,35140,12299,,
fille,5,1751,16,5,28016,8755,,
film,4,1741,17,4,29597,6964,,
bois,4,1738,31,4,53878,6952,,
possible,8,1735,15,8,26025,13880,,
particulier,11,1721,15,11,25815,18931,,
an,2,1718,11,2,18898,3436,,
ecrit,5,1706,28,5,47768,8530,,
angleterre,10,1703,31,10,52793,17030,,
vient,5,1702,26,5,44252,8510,,
donne,5,1702,12,5,20424,8510,,
premiers,8,1700,13,8,22100,13600,,
niveau,6,1697,33,6,56001,10182,,
articles,8,1696,24,8,40704,13568,,
but,3,1691,26,3,43966,5073,,
bas,3,1688,25,3,42200,5064,,
territoire,10,1682,27,10,45414,16820,,
mettre,6,1681,20,6,33620,10086,,
lorsqu,6,1672,13,6,21736,10032,,
prend,5,1669,10,5,16690,8345,,
vit,3,1667,26,3,43342,5001,,
amerique,8,1666,45,8,74970,13328,,
titre,5,1663,23,5,38249,8315,,
membres,7,1656,24,7,39744,11592,,
prix,4,1650,13,4,21450,6600,,
hiver,5,1647,41,5,67527,8235,,
demande,7,1646,14,7,23044,11522,,
contr,5,1644,12,5,19728,8220,,
femme,5,1644,21,5,34524,8220,,
commence,8,1642,18,8,29556,13136,,
cree,4,1640,24,4,39360,6560,,
eglise,6,1639,37,6,60643,9834,,
seulement,9,1635,21,9,34335,14715,,
vont,4,1633,32,4,52256,6532,,
te,2,1632,15,2,24480,3264,,
parce,5,1623,13,5,21099,8115,,
revolution,10,1603,44,10,70532,16030,,
bon,3,1598,25,3,39950,4794,,
parents,7,1592,15,7,23880,11144,,
lumiere,7,1590,22,7,34980,11130,,
porte,5,1589,11,5,17479,7945,,
question,8,1576,14,8,22064,12608,,
aurait,6,1573,25,6,39325,9438,,
cinq,4,1571,19,4,29849,6284,,
possede,7,1566,34,7,53244,10962,,
college,7,1563,24,7,37512,10941,,
prendre,7,1559,12,7,18708,10913,,
fonction,8,1557,21,8,32697,12456,,
rouge,5,1555,35,5,54425,7775,,
the,3,1555,26,3,40430,4665,,
mouvement,9,1548,30,9,46440,13932,,
tes,3,1546,18,3,27828,4638,,
seule,5,1543,17,5,26231,7715,,
departement,11,1543,26,11,40118,16973,,
couleur,7,1539,22,7,33858,10773,,
ministre,8,1533,20,8,30660,12264,,
ligne,5,1530,13,5,19890,7650,,
devant,6,1516,12,6,18192,9096,,
romain,6,1513,41,6,62033,9078,,
succes,6,1507,23,6,34661,9042,,
mieux,5,1505,22,5,33110,7525,,
militaire,9,1503,25,9,37575,13527,,
creer,5,1501,39,5,58539,7505,,
moi,3,1495,17,3,25415,4485,,
bonne,5,1488,27,5,40176,7440,,
mis,3,1487,16,3,23792,4461,,
chine,5,1487,16,5,23792,7435,,
abord,5,1486,29,5,43094,7430,,
savoir,6,1484,26,6,38584,8904,,
mesure,6,1482,19,6,28158,8892,,
taille,6,1481,26,6,38506,8886,,
serait,6,1481,16,6,23696,8886,,
air,3,1477,16,3,23632,4431,,
situe,5,1475,18,5,26550,7375,,
ni,2,1475,22,2,32450,2950,,
nos,3,1475,32,3,47200,4425,,
bataille,8,1475,29,8,42775,11800,,
malgre,6,1474,23,6,33902,8844,,
milieu,6,1469,23,6,33787,8814,,
met,3,1457,17,3,24769,4371,,
raison,6,1455,31,6,45105,8730,,
mal,3,1455,18,3,26190,4365,,
donner,6,1447,16,6,23152,8682,,
union,5,1446,13,5,18798,7230,,
enfant,6,1441,24,6,34584,8646,,
produit,7,1440,14,7,20160,10080,,
animal,6,1440,24,6,34560,8640,,
trouver,7,1435,25,7,35875,10045,,
sol,3,1432,18,3,25776,4296,,
theatre,7,1429,47,7,67163,10003,,
aller,5,1429,24,5,34296,7145,,
rien,4,1428,27,4,38556,5712,,
type,4,1422,27,4,38394,5688,,
maison,6,1420,18,6,25560,8520,,
livre,5,1420,19,5,26980,7100,,
ma,2,1407,13,2,18291,2814,,
energie,7,1406,31,7,43586,9842,,
vu,2,1405,27,2,37935,2810,,
soldats,7,1403,26,7,36478,9821,,
palais,6,1403,15,6,21045,8418,,
napoleon,8,1401,60,8,84060,11208,,
frere,5,1398,30,5,41940,6990,,
commune,7,1391,18,7,25038,9737,,
importante,10,1389,38,10,52782,13890,,
espace,6,1386,18,6,24948,8316,,
celebre,7,1382,34,7,46988,9674,,
loi,3,1381,10,3,13810,4143,,
chateau,7,1380,32,7,44160,9660,,
as,2,1378,18,2,24804,2756,,
base,4,1373,26,4,35698,5492,,
meurt,5,1373,22,5,30206,6865,,
parle,5,1367,10,5,13670,6835,,
gens,4,1366,23,4,31418,5464,,
art,3,1365,16,3,21840,4095,,
plut,4,1362,11,4,14982,5448,,
marie,5,1352,20,5,27040,6760,,
films,5,1348,19,5,25612,6740,,
argent,6,1343,25,6,33575,8058,,
droite,6,1342,15,6,20130,8052,,
mes,3,1342,15,3,20130,4026,,
ados,4,1341,37,4,49617,5364,,
ici,3,1341,25,3,33525,4023,,
devenir,7,1339,16,7,21424,9373,,
chose,5,1332,18,5,23976,6660,,
besoin,6,1330,31,6,41230,7980,,
appelee,7,1327,53,7,70331,9289,,
principalement,14,1325,22,14,29150,18550,,
romains,7,1322,45,7,59490,9254,,
